phase,region,points,rho_euler_min,rho_euler_max,rho_euler_mean,rho_euler_max_abs,j_l_unit_min,j_l_unit_max,j_l_unit_mean,j_l_unit_max_abs,p_l_unit_min,p_l_unit_max,p_l_unit_mean,p_l_unit_max_abs,p_omega_unit_min,p_omega_unit_max,p_omega_unit_mean,p_omega_unit_max_abs,rho_packet_min,rho_packet_max,rho_packet_mean,rho_packet_max_abs,Tkk_plus_min,Tkk_plus_max,Tkk_plus_mean,Tkk_plus_max_abs,Tkk_minus_min,Tkk_minus_max,Tkk_minus_mean,Tkk_minus_max_abs,ricci_scalar_min,ricci_scalar_max,ricci_scalar_mean,ricci_scalar_max_abs,cond_metric_min,cond_metric_max,cond_metric_mean,cond_metric_max_abs,rho_euler_negative_point_sum,rho_packet_negative_point_sum,Tkk_plus_negative_point_sum,Tkk_minus_negative_point_sum
catch_rematch,core_throat,3.0,0.020857332586621327,0.02323210871036617,0.022440464104251434,0.02323210871036617,-7.133693552011358e-11,5.117295497471339e-08,1.703485861066093e-08,5.117295497471339e-08,-0.023232486377858862,-0.020857378145463786,-0.022440679389039837,0.023232486377858862,-1.4002132002388262e-06,1.0902756736738128e-07,-4.082008625141578e-07,1.4002132002388262e-06,0.023127439996278816,0.02323210414179522,0.02317977206903702,0.02323210414179522,-0.2315906831103421,-0.017399644376063405,-0.09083852824335835,0.2315906831103421,-0.15733707536808209,-0.01739512648270818,-0.06612035589832738,0.15733707536808209,1.048399555179095,1.1678490695829145,1.1280066895190932,1.1678490695829145,334390.6491335658,406426.9054705912,371348.1510614084,406426.9054705912,0.0,0.0,-0.27251558473007503,-0.19836106769498213
catch_rematch,outer_shoulder,6.0,-0.022723204878710504,-0.0018708064814400888,-0.009043120761667198,0.022723204878710504,-4.911692984380307e-10,3.2987346663340277e-07,5.624980415139223e-08,3.2987346663340277e-07,-0.020405504964515382,-0.0018944212674318838,-0.008398320837637575,0.020405504964515382,0.002373891295369273,0.3280934558045798,0.11312215296395585,0.3280934558045798,nan,nan,nan,nan,-0.046654418973686385,-0.0037656150744806716,-0.01862049729718678,0.046654418973686385,-0.04665438393532211,-0.003765615064083871,-0.018620254728553925,0.04665438393532211,-16.550025996836617,-0.11873128522313711,-5.702345182912732,16.550025996836617,3.749530267560326,5.764996959925817,4.833018156333419,5.764996959925817,-0.054258724570003185,nan,-0.11172298378312068,-0.11172152837132354
catch_rematch,packet_in_support,3.0,0.020857328390568117,0.02530277376159705,0.023820958376143214,0.02530277376159705,1.0515586332198876e-08,1.1649693695381279e-07,4.884426366585703e-08,1.1649693695381279e-07,-0.025303004703691796,-0.02085731559850164,-0.02382105198310638,0.025303004703691796,-1.045005878159574e-06,-2.7978155047301672e-08,-3.8617561422800735e-07,1.045005878159574e-06,0.020857327868937073,0.02530277334737137,0.023820957358237745,0.02530277334737137,-0.16726369706922065,-0.003049324707749845,-0.06887627165196294,0.16726369706922065,-0.008215818721863291,0.012815203795199742,0.0016837785657849086,0.012815203795199742,1.0484558857920725,1.2718633278031537,1.1973937352653798,1.2718633278031537,340678.42507879296,797606.0877777814,518030.1902117384,797606.0877777814,0.0,0.0,-0.20662881495588883,-0.008215818721863291
catch_rematch,support_edge,6.0,-0.0374116234219497,0.017090400974768532,-0.0018941522570078756,0.0374116234219497,-1.5692937300561749e-06,2.0769081222654927e-10,-2.679746291806708e-07,1.5692937300561749e-06,-0.048620874690997774,-0.014638810959303852,-0.026783178609726066,0.048620874690997774,-8.731395492937372e-06,0.44336256476043734,0.14777754556654188,0.44336256476043734,0.014637715572823246,0.017090398214930216,0.01586405689387673,0.017090398214930216,-0.49146198490046894,-0.022926878511122226,-0.2513249670388337,0.49146198490046894,-0.49147105409864966,-0.023028585626707797,-0.25133106496540153,0.49147105409864966,-22.00411400681232,0.8590761476534101,-6.80258016188737,22.00411400681232,3.172936910780857,260502.6760883545,126368.18863416556,260502.6760883545,-0.07482127504231136,0.0,-1.5079498022330025,-1.5079863897924093
pre_catch_support,core_throat,2.0,0.020857332587122742,0.02530277304181655,0.023080052814469648,0.02530277304181655,5.749978474459157e-14,1.3063923561012139e-09,6.532249279429792e-10,1.3063923561012139e-09,-0.025302867750345723,-0.020857378106551663,-0.023080122928448694,0.025302867750345723,1.0544457289832488e-07,4.623540049964646e-06,2.3644923114314855e-06,4.623540049964646e-06,nan,nan,nan,nan,-0.03502846281220495,-0.017382546903904002,-0.02620550485805448,0.03502846281220495,-0.0331492559925167,-0.017382459075100942,-0.025265857533808823,0.0331492559925167,1.0483997343146738,1.2716260766309153,1.1600129054727946,1.2716260766309153,334393.4086940566,407042.94210914517,370718.1754016009,407042.94210914517,0.0,nan,-0.05241100971610896,-0.050531715067617645
pre_catch_support,outer_shoulder,3.0,-0.02272321795675653,-0.001870806487685053,-0.009043213789413513,0.02272321795675653,-2.97377546280072e-13,2.0015815650333615e-10,6.662109737273864e-11,2.0015815650333615e-10,-0.020405516614576305,-0.0018944220135029004,-0.008398405776682633,0.020405516614576305,0.0023739070230414795,0.32809357057565586,0.11312300351358501,0.32809357057565586,nan,nan,nan,nan,-0.046654431396653186,-0.003765615833815525,-0.0186205881401497,0.046654431396653186,-0.04665443053358928,-0.003765615833805472,-0.018620587852855548,0.04665443053358928,-16.550031801749302,-0.11873205718831176,-5.70238813949143,16.550031801749302,3.749530083289312,5.764996959830574,4.833016845563141,5.764996959830574,-0.027129641368240538,nan,-0.05586176442044911,-0.05586176355856664
pre_catch_support,packet_in_support,1.0,0.023232116272666265,0.023232116272666265,0.023232116272666265,0.023232116272666265,1.0709286823719242e-07,1.0709286823719242e-07,1.0709286823719242e-07,1.0709286823719242e-07,-0.023232359972471726,-0.023232359972471726,-0.023232359972471726,0.023232359972471726,-8.219746048271587e-09,-8.219746048271587e-09,-8.219746048271587e-09,8.219746048271587e-09,0.023232115039679344,0.023232115039679344,0.023232115039679344,0.023232115039679344,-0.16632309364778056,-0.16632309364778056,-0.16632309364778056,0.16632309364778056,-0.0107206948569487,-0.0107206948569487,-0.0107206948569487,0.0107206948569487,1.1677800768053674,1.1677800768053674,1.1677800768053674,1.1677800768053674,833566.067569306,833566.067569306,833566.067569306,833566.067569306,0.0,0.0,-0.16632309364778056,-0.0107206948569487
pre_catch_support,support_edge,3.0,-0.03740960304995686,0.017090400966981528,-0.0018938074055376622,0.03740960304995686,-9.52163438495687e-10,4.942603167734276e-11,-3.008704766203122e-10,9.52163438495687e-10,-0.04861964037646382,-0.014638810955726143,-0.026782968855028927,0.04861964037646382,-8.731415782037053e-06,0.4433198420523157,0.14777031328840215,0.4433198420523157,nan,nan,nan,nan,-0.49146258415532706,-0.024329107083443248,-0.2517676892090766,0.49146258415532706,-0.4914626044194473,-0.024240657822818017,-0.25173817383489566,0.4914626044194473,-22.001946773497995,0.8590672020460313,-6.802213232585172,22.001946773497995,3.17314220673223,260504.9222452265,126390.00303690613,260504.9222452265,-0.03740960304995686,nan,-0.7553030676272299,-0.755214521504687
reset_tail,core_throat,3.0,-0.013454996757907815,-0.008297474911579688,-0.010884751362574413,0.013454996757907815,-0.020699770736724618,0.028162250926708245,0.004427007752262916,0.028162250926708245,-0.02516321285991616,-0.017892305488303915,-0.021565995046123013,0.02516321285991616,-0.5172038635131863,-0.5121280275944311,-0.5147377538549033,0.5172038635131863,-0.05281453957909081,0.005500021966409597,-0.02681629532215335,0.05281453957909081,-0.0957899002515643,0.010274029178365882,-0.04793889752471361,0.0957899002515643,-0.08579076380328161,0.03498299321123748,-0.027369462073661144,0.08579076380328161,26.036621958910516,26.23864612760078,26.141990475886917,26.23864612760078,1.3554946565421984,1.643270499939473,1.4916392497616002,1.643270499939473,-0.03265425408772324,-0.08594890793286965,-0.1540907217525067,-0.11709137943222092
reset_tail,outer_shoulder,2.0,-0.00250218420996752,-0.00187060938527084,-0.00218639679761918,0.00250218420996752,-1.7995354193030457e-07,9.512269189221104e-10,-8.950115750569123e-08,1.7995354193030457e-07,-0.0025063591383236135,-0.0018708833293593918,-0.0021886212338415026,0.0025063591383236135,0.001876434143938988,0.002573376826839671,0.0022249054853893295,0.002573376826839671,-0.0041714088821244,-0.00311777336493883,-0.003644591123531615,0.0041714088821244,-0.005008299160333007,-0.0037414990844055716,-0.00437489912236929,0.005008299160333007,-0.005009018990181654,-0.003741495279501791,-0.0043752571348417224,0.005009018990181654,-0.1292470983458434,-0.09431298084420633,-0.11178003959502486,0.1292470983458434,4.98499446873014,5.76499996471178,5.37499721672096,5.76499996471178,-0.00437279359523836,-0.00728918224706323,-0.00874979824473858,-0.008750514269683445
