X,r_mode,U,q,E,packet_max_norm,packet_fail_points,packet_max_gtt,edge_max_gtt,edge_fail_points,release_packet_max_norm,rho_H_packet_p95_abs,j_packet_p95_abs,rho_H_edge_p95_abs,j_edge_p95_abs,R3_packet_p95_abs,K_packet_p95_abs,label,scenario,V,lambda_factor
0.05,always_open,0.34375000259875,0.9996646498695335,0.9904617115004255,-326485.76515840506,0,-255412.95776324125,-16467.03565617713,0,,0.315277438933195,5.810453709410395e-08,0.21180331059950885,3.3813404239559876e-09,15.847572579806155,0.0020824200689748577,v01_geometry_baseline,V5_lam575,5.0,5.75
0.35,always_open,0.10928479164912197,0.9975273768433652,0.9241418199787563,-302540.1560697248,0,-297104.3336198754,-16120.812490290731,0,-15429.247414280771,0.3023992381314991,1.0621186116963044e-07,0.21180388862967078,3.109671083698146e-06,15.200243602435407,0.0007124613506189798,v01_geometry_baseline,V5_lam575,5.0,5.75
0.7,always_open,0.06558745229338633,0.975075573352886,0.5,-0.7254196753667859,0,-1.000859989929897,-12961.099430388465,0,-12787.501458439845,0.23516115104391774,0.14287078122706667,0.21180910669014189,7.410001501146218e-07,11.82048868394721,32.12414612156391,v01_geometry_baseline,V5_lam575,5.0,5.75
1.0,always_open,0.06278696505994319,0.8411308951190848,0.10500058502026482,-0.7477599567104832,0,-1.0000000000002314,-3531.03966469226,0,-3443.2650191365856,0.16710137597676766,0.011007680220467376,0.21184101238559974,8.095012457943586e-07,8.399431282773747,2.4423806375100465,v01_geometry_baseline,V5_lam575,5.0,5.75
1.25,always_open,0.06255163715020258,0.5,0.019292242724332276,-0.7496468718593131,0,-1.0,-128.53309682569468,0,,0.13143380830639267,1.6545308272621137e-07,0.21192329402068846,2.6271044665833508e-05,6.606583785739078,3.329694391961186e-05,v01_geometry_baseline,V5_lam575,5.0,5.75
0.05,always_open,0.65625000496125,0.9996646498695335,0.9904617115004255,-348600.7659558596,0,-89466.75125782128,-17573.44951042872,0,,0.31527743875181397,1.0630641099404824e-07,0.21180331059950885,6.248808809206699e-09,15.847572579806155,0.003809938145255515,v01_geometry_baseline,V10_lam6,10.0,6.0
0.35,always_open,0.16126779824642795,0.9975273768433652,0.9241418199787563,-329110.75058424735,0,-317273.76499143615,-17192.772144645292,0,-15686.82784334676,0.30239923807190977,1.522175637186956e-07,0.21180396982331065,4.4424994643350684e-06,15.200243602435407,0.0010076542465525084,v01_geometry_baseline,V10_lam6,10.0,6.0
0.7,always_open,0.06901646277867134,0.975075573352886,0.5,-0.6958716950998312,0,-1.0008657523703377,-13809.524114681693,0,-13617.299712518481,0.2351611510549734,0.1502059444163521,0.21180910786192508,7.555505352811132e-07,11.82048868394721,33.77343962875004,v01_geometry_baseline,V10_lam6,10.0,6.0
1.0,always_open,0.06309961864724022,0.8411308951190848,0.10500058502026482,-0.7452415925594917,0,-1.0000000000002331,-3729.6321253848773,0,-3640.9811391612993,0.16710137597676766,0.011053966553566339,0.21184101220310708,7.91577320239125e-07,8.399431282773747,2.452650622853323,v01_geometry_baseline,V10_lam6,10.0,6.0
1.25,always_open,0.0625939739095466,0.5,0.019292242724332276,-0.7493078681235894,0,-1.0,-132.78239703848902,0,,0.13143380830639267,1.655648226238904e-07,0.21192329402052898,2.586475803801546e-05,6.606583785739078,3.3319431215396294e-05,v01_geometry_baseline,V10_lam6,10.0,6.0
0.05,always_open,0.65625000496125,0.9996646498695335,0.9904617115004255,-1306270.2669998757,0,-1047267.3188047772,-47486.71517619683,0,,0.31527743894002724,5.547633283991659e-08,0.21180331059950885,3.801571005037396e-09,15.847572579806155,0.001988240083500623,v01_geometry_baseline,V10_lam115,10.0,11.5
0.35,always_open,0.16126779824642795,0.9975273768433652,0.9241418199787563,-1198730.979202971,0,-1186893.99361016,-46388.69461843465,0,-44882.750317136124,0.302399238158528,9.688983695102917e-08,0.21180386965985845,2.706774402061223e-06,15.200243602435407,0.0005265791594905989,v01_geometry_baseline,V10_lam115,10.0,11.5
