name,r_mode,x_catch,x_beta,x_q,w_catch,w_beta,w_q,p_beta,packet_fail_slices,edge_fail_slices,release_fail_slices,max_packet_norm,max_edge_gtt,max_release_packet_norm,max_packet_rho,max_edge_rho,max_release_rho,max_packet_j,max_edge_j,max_release_j,max_packet_R3,max_packet_K,clear,raw_source_cost,resolution,relative_source_cost,selection_score
baseline_p4_open,always_open,0.25,0.7,1.25,0.18,0.2,0.2,4.0,0,0,1,-0.716225906803775,-1.299896414044511,2.344872263160112,0.31474537534748626,0.1968768954219882,0.1968768954219882,0.2437220770666259,1.892109065340281,1.8921090653402814,15.8208237266646,83.96763200806103,False,2.206854440687768,sweep,1.0,1001.0
basepos_medium_p2,always_open,0.25,0.7,1.25,0.25,0.28,0.3,2.0,0,0,1,-0.5671749929009684,-1.4720763603521452,9.31905202493759,0.3147453604120277,0.21786784579435717,0.21786784579435717,0.29455570307440193,2.6655973588831063,2.6655973588831063,15.820823755801264,101.33443531820711,False,2.980342719295134,sweep,1.3504935642091138,1001.3504935642092
basepos_medium_p3,always_open,0.25,0.7,1.25,0.25,0.28,0.3,3.0,0,0,1,-0.567174992900955,-1.4720763603521452,9.42444314404699,0.31474536041199774,0.19901959635774083,0.19901959635774083,0.28767772453890866,2.5749395404059414,2.574939540405942,15.820823755801264,97.75680788189422,False,2.8896849008179397,sweep,1.3094134563389541,1001.3094134563389
basepos_medium_p4,always_open,0.25,0.7,1.25,0.25,0.28,0.3,4.0,0,0,1,-0.567174992900955,-1.4720763603521452,9.43631251125505,0.3147453604119678,0.1969830784738146,0.1969830784738146,0.2764258870463312,2.471087186175716,2.4710871861757164,15.820823755801264,93.79962340704694,False,2.785832546587684,sweep,1.2623544603691566,1001.2623544603691
basepos_smooth_p2,always_open,0.25,0.7,1.25,0.35,0.38,0.42,2.0,0,0,1,-0.02245189381187529,-1.6040381791546714,18.86809192144206,0.3147453518959503,0.22470865377641117,0.22470865377641117,0.33721818095044853,2.9034150419002414,2.9034150419002414,15.820823986420535,112.95000446945663,False,3.218160393796192,sweep,1.4582567542575438,1001.4582567542575
basepos_smooth_p3,always_open,0.25,0.7,1.25,0.35,0.38,0.42,3.0,0,0,1,-0.022451893811842538,-1.6040381791546714,19.033126655462805,0.3147453518959259,0.19975982937642592,0.19975982937642592,0.3293436612809325,2.804669039230458,2.804669039230459,15.820823986420535,108.96255613166177,False,3.119414391126385,sweep,1.413511617990635,1001.4135116179906
basepos_smooth_p4,always_open,0.25,0.7,1.25,0.35,0.38,0.42,4.0,0,0,1,-0.022451893811842538,-1.6040381791546714,19.05171005874137,0.3147453518959015,0.19706415524551393,0.19706415524551393,0.3164629098284773,2.6915519679528006,2.6915519679528006,15.820823986420535,104.55205536993901,False,3.006297319848702,sweep,1.3622544670013612,1001.3622544670013
basepos_very_smooth_p2,always_open,0.25,0.7,1.25,0.45,0.5,0.55,2.0,1,0,2,1.2255175879452835,-1.694763648781317,25.958615702009215,0.31474535941694703,0.22349051749911894,0.22349051749911894,0.34408828074025904,2.5719476645037265,2.5719476645037265,15.820824695405634,111.97679391805663,False,2.8866930239206736,sweep,1.3080577362506216,1001.3080577362506
basepos_very_smooth_p3,always_open,0.25,0.7,1.25,0.45,0.5,0.55,3.0,1,0,2,1.271731127813558,-1.694763648781317,26.157626755181834,0.3147453594169256,0.19963062668773737,0.19963062668773737,0.3360524918891072,2.484474926197207,2.484474926197207,15.820824695405634,108.02404621372557,False,2.7992202856141324,sweep,1.2684208953725797,1001.2684208953726
basepos_very_smooth_p4,always_open,0.25,0.7,1.25,0.45,0.5,0.55,4.0,1,0,2,1.276938850626693,-1.694763648781317,26.18003272943211,0.3147453594169042,0.19705260874902353,0.19705260874902353,0.3229103092900337,2.3842730289694734,2.3842730289694734,15.820824695405634,103.65190800159779,False,2.6990183883863774,sweep,1.223016044295711,1001.2230160442957
