series,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
target_zero_flux_Tkk,core_line,0.5,-0.0012211047941888143,177.06,-0.15198177546350666,0.15076067066931784,above_proxy_bound
target_zero_flux_Tkk,core_line,1.0,-0.0012051186313241718,177.06,-0.009498860966469166,0.008293742335144995,above_proxy_bound
target_zero_flux_Tkk,core_line,2.0,-0.0011730955231277623,177.06,-0.0005936788104043229,-0.0005794167127234394,below_proxy_bound
target_zero_flux_Tkk,core_line,5.0,-0.001077134854126836,177.06,-1.5198177546350666e-05,-0.0010619366765804855,below_proxy_bound
target_zero_flux_Tkk,core_line,10.0,-0.000922190812956987,176.28,-9.498860966469166e-07,-0.0009212409268603401,below_proxy_bound
target_zero_flux_Tkk,core_line,20.0,-0.0006564319585650599,174.72,-5.936788104043229e-08,-0.0006563725906840194,below_proxy_bound
target_zero_flux_Tkk,core_line,40.0,-0.0003349214913694388,167.70000000000002,-3.710492565027018e-09,-0.0003349177808768738,below_proxy_bound
target_zero_flux_Tkk,core_line,80.0,,,-2.3190578531418863e-10,,
target_zero_flux_Tkk,access_mean,0.5,-0.0012907563863249591,152.88,-0.15198177546350666,0.15069101907718171,above_proxy_bound
target_zero_flux_Tkk,access_mean,1.0,-0.0011643382692921248,153.66,-0.009498860966469166,0.008334522697177042,above_proxy_bound
target_zero_flux_Tkk,access_mean,2.0,-0.0011263489640091528,176.28,-0.0005936788104043229,-0.0005326701536048299,below_proxy_bound
target_zero_flux_Tkk,access_mean,5.0,-0.001032042349542121,176.28,-1.5198177546350666e-05,-0.0010168441719957705,below_proxy_bound
target_zero_flux_Tkk,access_mean,10.0,-0.0008786896492795102,176.28,-9.498860966469166e-07,-0.0008777397631828634,below_proxy_bound
target_zero_flux_Tkk,access_mean,20.0,-0.0006093059191522504,173.94,-5.936788104043229e-08,-0.0006092465512712099,below_proxy_bound
target_zero_flux_Tkk,access_mean,40.0,-0.00026135765185677747,169.26000000000002,-3.710492565027018e-09,-0.00026135394136421247,below_proxy_bound
target_zero_flux_Tkk,access_mean,80.0,,,-2.3190578531418863e-10,,
target_zero_flux_Tkk,support_mean,0.5,-0.00994375684805104,2.34,-0.15198177546350666,0.14203801861545562,above_proxy_bound
