series,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
nmc_component_Tkk_min,shoulder_mean,1.0,-0.12966775512279,154.44,-0.009498860966469166,-0.12016889415632083,below_proxy_bound
infrastructure_component_Tkk_min,shoulder_mean,1.0,-0.12950603553045148,154.44,-0.009498860966469166,-0.12000717456398231,below_proxy_bound
infrastructure_component_Tkk_min,support_ring_mean,2.0,-0.028056160673550268,8.58,-0.0005936788104043229,-0.027462481863145944,below_proxy_bound
combined_flux_completed_Tkk_min,support_ring_mean,2.0,-0.028054955313296447,8.58,-0.0005936788104043229,-0.027461276502892124,below_proxy_bound
target_zero_flux_Tkk,support_ring_mean,2.0,-0.027944707595704932,8.58,-0.0005936788104043229,-0.02735102878530061,below_proxy_bound
nmc_component_Tkk_min,matching_mean,1.0,-0.03196851323109472,154.44,-0.009498860966469166,-0.02246965226462555,below_proxy_bound
infrastructure_component_Tkk_min,matching_mean,1.0,-0.031684246508428104,154.44,-0.009498860966469166,-0.022185385541958938,below_proxy_bound
combined_flux_completed_Tkk_min,shoulder_mean,2.0,-0.009200488929166077,8.58,-0.0005936788104043229,-0.008606810118761753,below_proxy_bound
target_zero_flux_Tkk,shoulder_mean,2.0,-0.00898280809223117,8.58,-0.0005936788104043229,-0.008389129281826849,below_proxy_bound
combined_flux_completed_Tkk_min,support_mean,2.0,-0.008808326548519409,8.58,-0.0005936788104043229,-0.008214647738115085,below_proxy_bound
infrastructure_component_Tkk_min,support_mean,2.0,-0.008807476881198473,8.58,-0.0005936788104043229,-0.00821379807079415,below_proxy_bound
target_zero_flux_Tkk,support_mean,2.0,-0.008769934279810704,8.58,-0.0005936788104043229,-0.008176255469406382,below_proxy_bound
nmc_component_Tkk_min,support_ring_mean,2.0,-0.006491550802542739,218.4,-0.0005936788104043229,-0.005897871992138416,below_proxy_bound
nmc_component_Tkk_min,support_mean,2.0,-0.004205563512661799,217.62,-0.0005936788104043229,-0.0036118847022574762,below_proxy_bound
target_zero_flux_Tkk,core_line,5.0,-0.0010771348541267574,177.06,-1.5198177546350666e-05,-0.0010619366765804068,below_proxy_bound
combined_flux_completed_Tkk_min,core_line,5.0,-0.0010771348541267574,177.06,-1.5198177546350666e-05,-0.0010619366765804068,below_proxy_bound
combined_flux_completed_Tkk_min,access_mean,5.0,-0.0010467659354669342,177.06,-1.5198177546350666e-05,-0.0010315677579205837,below_proxy_bound
target_zero_flux_Tkk,access_mean,5.0,-0.001032042349320714,176.28,-1.5198177546350666e-05,-0.0010168441717743634,below_proxy_bound
infrastructure_component_Tkk_min,core_line,5.0,-0.0008847164016445921,176.28,-1.5198177546350666e-05,-0.0008695182240982414,below_proxy_bound
combined_flux_completed_Tkk_min,matching_mean,5.0,-0.0007827030299940539,349.44,-1.5198177546350666e-05,-0.0007675048524477033,below_proxy_bound
infrastructure_component_Tkk_min,access_mean,5.0,-0.0005825570343382261,156.0,-1.5198177546350666e-05,-0.0005673588567918754,below_proxy_bound
target_zero_flux_Tkk,matching_mean,5.0,-0.000542269184400874,34.32,-1.5198177546350666e-05,-0.0005270710068545233,below_proxy_bound
nmc_component_Tkk_min,access_mean,5.0,-0.00047853717208837124,184.86,-1.5198177546350666e-05,-0.00046333899454202056,below_proxy_bound
nmc_component_Tkk_min,core_line,5.0,-0.00019408538627014476,184.86,-1.5198177546350666e-05,-0.0001788872087237941,below_proxy_bound
