phase,zone,geom_Tkk_min,geom_Tkk_mean,overlay_Tkk_pos_mean,target_Tkk_min,target_Tkk_mean,minimal_fluid_rho_required_mean_half_target,minimal_fluid_abs_half_target_mean
B_setup,access,-0.0006513728837694801,-4.376524730119051e-05,9.316309329572457e-05,-0.0006513728837694801,4.939784599453408e-05,2.469892299726704e-05,5.2069609523733026e-05
B_setup,support,-0.037875056597463125,-0.002169811371002971,0.0017743384644675396,-0.03787505027258078,-0.0003954729065354315,-0.00019773645326771574,0.0014429815088536863
B_setup,support_ring,-0.08020617818264972,-0.0067128962153987426,0.002751458129707168,-0.08020609961900237,-0.003961438085691575,-0.0019807190428457874,0.0035934810174285767
B_setup,shoulder,-0.13044303841598434,-0.002457433224433213,0.002028702039214573,-0.13044254051236912,-0.00042873118521864024,-0.00021436559260932012,0.0030076319681971403
B_setup,matching,-0.0007796407758223259,-0.00023443623272654922,1.1193718462595548e-15,-0.000779640775753234,-0.00023443623272542983,-0.00011721811636271492,0.00011721811636271492
open_interval,access,-0.0022766256728609406,-0.0011769426971918922,0.0,-0.0022766256728609406,-0.0011769426971918922,-0.0005884713485959461,0.0005884713485959461
open_interval,support,-0.0064891058952526665,-0.0010554423760002342,0.0,-0.0064891058952526665,-0.0010554423760002342,-0.0005277211880001171,0.000535281025862473
open_interval,support_ring,-0.008103565644118665,-0.0009166767417615468,0.0,-0.008103565644118665,-0.0009166767417615468,-0.0004583383708807734,0.0004893489805266185
open_interval,shoulder,-0.008119913518246645,-8.915167501521641e-05,0.0,-0.008119913518246645,-8.915167501521641e-05,-4.4575837507608206e-05,6.63752806243247e-05
open_interval,matching,-9.362286042388491e-05,-3.562255035043136e-05,0.0,-9.362286042388491e-05,-3.562255035043136e-05,-1.781127517521568e-05,1.781127517521568e-05
comp,access,-4.953239950004533e-05,-3.0906065615303837e-06,0.004370104170914654,-4.588730403277798e-05,0.004367013564353124,0.002183506782176562,0.002183701627573972
comp,support,-0.0008874194536464604,-0.0001442418339108726,0.004022753076734696,-0.0008849854802452454,0.0038785112428238234,0.0019392556214119117,0.0019523573038841475
comp,support_ring,-0.0016663488750597347,-0.00044469700604585883,0.0033134164706182757,-0.0016650968715355985,0.0028687194645724166,0.0014343597322862083,0.001507821190858646
comp,shoulder,-0.0025025736146465083,-0.00015249882040971942,0.0005525383539680561,-0.002502233663711729,0.00040003953355833666,0.00020001976677916833,0.0003531669705559224
comp,matching,-9.362286042411598e-05,-3.5622550484058984e-05,3.0297105236189903e-16,-9.362286042411598e-05,-3.562255048375601e-05,-1.7811275241878005e-05,1.7811275241878005e-05
B_reset,access,-0.0006513728837703636,-4.373545693041477e-05,9.316309329572457e-05,-0.0006513728837703636,4.942763636530981e-05,2.4713818182654906e-05,5.205471433834514e-05
B_reset,support,-0.037875056597463055,-0.0021695992734506783,0.0017743384644675396,-0.0378750502725832,-0.0003952608089831382,-0.0001976304044915691,0.0014428754600775396
B_reset,support_ring,-0.08020617818264972,-0.0067124719559353285,0.0027514581297071678,-0.08020609961900278,-0.003961013826228162,-0.001980506913114081,0.0035932688876968697
B_reset,shoulder,-0.1304430384159851,-0.00245730425981303,0.002028702039214573,-0.13044254051236986,-0.0004286022205984574,-0.0002143011102992287,0.0030075862273908774
B_reset,matching,-0.0007796407758222371,-0.00023443623272654951,1.1193718462595548e-15,-0.0007796407757531452,-0.00023443623272543018,-0.00011721811636271509,0.00011721811636271509
full_cycle,access,-0.0022766256728609406,-0.0002448072564889365,0.00029551872139621136,-0.0022766256728609406,5.071146490727481e-05,2.5355732453637405e-05,0.0002573987470375655
full_cycle,support,-0.037875056597463125,-0.0018662190813717716,0.0015714245724648681,-0.0378750502725832,-0.00029479450890690384,-0.00014739725445345192,0.0013063128333558184
full_cycle,support_ring,-0.08020617818264972,-0.0053526409574785215,0.002287005975259169,-0.08020609961900278,-0.003065634982219353,-0.0015328174911096765,0.0029301201977631627
full_cycle,shoulder,-0.1304430384159851,-0.001914784337475734,0.0015894247703546124,-0.13044254051236986,-0.00032535956712112144,-0.00016267978356056072,0.002344399628736406
full_cycle,matching,-0.0007796407758223259,-0.00018861346646431945,8.768955283481869e-16,-0.000779640775753234,-0.0001886134664634426,-9.43067332317213e-05,9.43067332317213e-05
