t,phase,core_line_target_Tkk,core_line_nmc_feature_Tkk,core_line_rank1_scalar_Tkk,core_line_feature_residual_Tkk,access_mean_target_Tkk,access_mean_nmc_feature_Tkk,access_mean_rank1_scalar_Tkk,access_mean_feature_residual_Tkk,support_mean_target_Tkk,support_mean_nmc_feature_Tkk,support_mean_rank1_scalar_Tkk,support_mean_feature_residual_Tkk,support_ring_mean_target_Tkk,support_ring_mean_nmc_feature_Tkk,support_ring_mean_rank1_scalar_Tkk,support_ring_mean_feature_residual_Tkk,shoulder_mean_target_Tkk,shoulder_mean_nmc_feature_Tkk,shoulder_mean_rank1_scalar_Tkk,shoulder_mean_feature_residual_Tkk
0.0,B_setup,-0.00029873686727312915,-5.728626129408111e-21,-1.6719949541794852e-22,-0.00029873686727312915,-0.0011769823532422773,-8.209311657032941e-09,-2.3723459349084926e-10,-0.0011769741439306201,-0.010216249967328386,-4.932130853771548e-08,-1.4249119769067673e-08,-0.010216200646019849,-0.030688325472606953,1.084874848148338e-07,-1.6839412654535355e-06,-0.030688433960091768,-0.008647457339938318,5.007624535877295e-06,-18683.703545762575,-0.008652464964474195
1.625,B_setup,-0.0002986845479365275,-8.358560659962471e-09,-2.4154651107852215e-10,-0.0002986761893758675,-0.0011765480113615629,-1.3873646144560149e-08,-2.850465627540432e-10,-0.0011765341377154184,-0.010210794108774913,-7.751737751555821e-08,-4.978456885664806e-07,-0.010210716591397398,-0.030677095207766906,-3.4346161756397335e-09,-1.076006006489659e-05,-0.03067709177315073,-0.008648379462857009,7.11423472195594e-06,-20587.259063733007,-0.008655493697578965
3.25,B_setup,-0.0002983255539216344,-1.33267099771287e-07,-3.8511658048384085e-09,-0.00029819228682186316,-0.0011744613077171123,-1.036910917246447e-07,-1.1493851915480838e-09,-0.0011743576166253877,-0.0101878588523544,-6.144439973827946e-07,-7.723040732489959e-06,-0.010187244408357016,-0.030624071262971522,-7.111180458759082e-07,-0.00014774885848014673,-0.030623360144925647,-0.008654675701837342,1.8658710568148785e-05,-63919.45114775492,-0.008673334412405491
4.875,B_setup,-0.0002973748038965798,-6.69921813482884e-07,-1.9359466698293778e-08,-0.00029670488208309695,-0.0011695964611971494,-4.139270853813269e-07,-2.6772840168380874e-09,-0.0011691825341117682,-0.010137579772473876,-2.6368726071148945e-06,-3.861967048112858e-05,-0.01013494289986676,-0.0304993370708239,-3.775414698933408e-06,-0.0007212509856930413,-0.030495561656124968,-0.00865342621579739,4.176058215707361e-05,-141117.00365613354,-0.008695186797954464
6.5,B_setup,-0.00029557618114315335,-2.0931224435225055e-06,-6.04872589984133e-08,-0.00029348305869963086,-0.0011609475374898554,-1.1564887394318837e-06,-4.412977688790858e-09,-0.0011597910487504235,-0.010051221399931297,-7.725398643778008e-06,-0.00012040057788702824,-0.01004349600128752,-0.030276455035626596,-1.174893981070421e-05,-0.002226293039770557,-0.030264706095815892,-0.00863551577777986,7.587487527600058e-05,-238339.71615418908,-0.00871139065305586
8.125,B_setup,-0.00029271082881326683,-5.025521493571418e-06,-1.452280162226125e-07,-0.0002876853073196954,-0.0011476570495493343,-2.5966179800047004e-06,-5.393256151004956e-09,-0.0011450604315693296,-0.009921343569168312,-1.7913341264504244e-05,-0.0002887276558859131,-0.009903430227903808,-0.02993281586909813,-2.795135552104709e-05,-0.005309555938590248,-0.02990486451357708,-0.008592516471332927,0.00011788490411751894,-323090.3919679273,-0.008710401375450446
9.75,B_setup,-0.0002886066113786827,-1.0187698408701215e-05,-2.9440511430747747e-07,-0.0002784189129699815,-0.0011290531608950359,-5.031614888598596e-06,-4.224432381931563e-09,-0.0011240215460064373,-0.009742123288065606,-3.55211733489636e-05,-0.0005848525797746111,-0.009706602114716642,-0.029450604688835032,-5.6210667847086104e-05,-0.010717516462309451,-0.029394394020987945,-0.008516921261083943,0.0001614804072749755,-345279.81342636974,-0.008678401668358919
11.375,B_setup,-0.0002831471081915783,-1.8331382733507303e-05,-5.297421078408304e-07,-0.000264815725458071,-0.0011046851163659416,-8.763178255563114e-06,7.91640537785522e-10,-0.0010959219381103786,-0.009509662770884145,-6.293914073758631e-05,-0.001051794107219018,-0.009446723630146559,-0.028817728758791,-0.00010052044654493774,-0.019227245759898662,-0.028717208312246063,-0.008402430891785656,0.00019754120987815234,-240899.25607736342,-0.008599972101663808
13.0,B_setup,-0.00027627849300346403,-3.016099764463851e-05,-8.715954873196648e-07,-0.00024611749535882553,-0.0010743504120649006,-1.406564537546703e-05,1.1488217580835352e-08,-0.0010602847666894336,-0.009222227261888342,-0.00010237491464362888,-0.0017298479388206394,-0.009119852347244713,-0.028028537437233176,-0.0001646346273869966,-0.03156525108987287,-0.02786390280984618,-0.008244245864484521,0.00021788876797717254,62496.7952196002,-0.008462134632461694
14.625,B_setup,-0.00026801287007655164,-4.625208791531099e-05,-1.3365974024158728e-06,-0.00022176078216124066,-0.0010381080609388473,-2.1153698213485728e-05,2.9636563192750396e-08,-0.0010169543627253615,-0.00888036341911993,-0.0001555943511030243,-0.002651919673015199,-0.008724769068016907,-0.027084185996715904,-0.000251643071381059,-0.048323240084236684,-0.026832542925334844,-0.00803931348311442,0.00021089999696460355,638892.169004839,-0.008250213480079023
