kind,i,j,feature,coef,abs_coef
cross,0,1,phi_open__core_bowl*phi_open__support_broad,0.7816345010577105,0.7816345010577105
cross,1,4,phi_open__support_broad*phi_edges__core_bowl,0.5854203735282212,0.5854203735282212
cross,0,4,phi_open__core_bowl*phi_edges__core_bowl,-0.48645140087342337,0.48645140087342337
diag,4,4,phi_edges__core_bowl^2,-0.4344844900833463,0.4344844900833463
cross,0,3,phi_open__core_bowl*phi_hold__support_broad,0.38332150555146144,0.38332150555146144
cross,4,6,phi_edges__core_bowl*phi_edges__support_broad,0.3281671734886107,0.3281671734886107
cross,4,5,phi_edges__core_bowl*phi_edges__support_broad,0.328167173049468,0.328167173049468
diag,0,0,phi_open__core_bowl^2,-0.31449432467615324,0.31449432467615324
diag,2,2,phi_hold__core_bowl^2,0.28436266242246777,0.28436266242246777
cross,0,5,phi_open__core_bowl*phi_edges__support_broad,0.22992289419702278,0.22992289419702278
cross,0,6,phi_open__core_bowl*phi_edges__support_broad,0.22992289387173562,0.22992289387173562
cross,2,3,phi_hold__core_bowl*phi_hold__support_broad,-0.22895154531812023,0.22895154531812023
diag,1,1,phi_open__support_broad^2,0.18177818712332564,0.18177818712332564
cross,1,2,phi_open__support_broad*phi_hold__core_bowl,-0.17517574089817586,0.17517574089817586
cross,3,4,phi_hold__support_broad*phi_edges__core_bowl,-0.17133268000117172,0.17133268000117172
cross,0,2,phi_open__core_bowl*phi_hold__core_bowl,-0.11870970472566886,0.11870970472566886
diag,6,6,phi_edges__support_broad^2,-0.10536521276375366,0.10536521276375366
diag,5,5,phi_edges__support_broad^2,-0.10536521267094821,0.10536521267094821
cross,3,5,phi_hold__support_broad*phi_edges__support_broad,0.09444794399020909,0.09444794399020909
cross,3,6,phi_hold__support_broad*phi_edges__support_broad,0.09444794362807066,0.09444794362807066
cross,2,4,phi_hold__core_bowl*phi_edges__core_bowl,0.09413762663219691,0.09413762663219691
cross,2,5,phi_hold__core_bowl*phi_edges__support_broad,-0.06617482626777559,0.06617482626777559
cross,2,6,phi_hold__core_bowl*phi_edges__support_broad,-0.06617482626751287,0.06617482626751287
cross,1,6,phi_open__support_broad*phi_edges__support_broad,-0.052816640075450616,0.052816640075450616
cross,1,5,phi_open__support_broad*phi_edges__support_broad,-0.05281664007539279,0.05281664007539279
cross,5,6,phi_edges__support_broad*phi_edges__support_broad,-0.05268260654323722,0.05268260654323722
diag,3,3,phi_hold__support_broad^2,-0.015830744639343725,0.015830744639343725
cross,1,3,phi_open__support_broad*phi_hold__support_broad,0.009574464410460705,0.009574464410460705
