case,comp_kind,amp,TC,core_open_negative,core_comp_positive,core_comp_to_open_neg_ratio,support_open_negative,support_comp_positive,support_comp_to_open_neg_ratio,shoulder_open_negative,shoulder_comp_positive,shoulder_comp_to_open_neg_ratio,access_hold_max_abs_flux,access_hold_max_abs_Rt_over_NR,access_comp_positive,access_comp_negative,access_comp_max_abs_flux,access_comp_max_abs_Rt_over_NR,shoulder_max_abs_flux_compensation,access_max_abs_flux_compensation
baseline_flare_gated_with_idle_comp,none,0.0,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
shoulder_R_amp_-0.25,shoulder_R,-0.25,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861135219083866,0.03390243336645651,0.49412279869020465,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.0004977480659038252,5.84289446327629e-07
shoulder_R_amp_-0.15,shoulder_R,-0.15,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861286851458182,0.018740514563138844,0.2731341068936078,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.00028966887960272326,5.84289446327629e-07
shoulder_R_amp_-0.08,shoulder_R,-0.08,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861392994120202,0.008448057286662066,0.12312452141863232,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.00015133571636937222,5.84289446327629e-07
shoulder_R_amp_+0.08,shoulder_R,0.08,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861635605919107,0.0058060443363227455,0.08461604010732122,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.00014485735788866662,5.84289446327629e-07
shoulder_R_amp_+0.15,shoulder_R,0.15,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861749816916629,0.01425867160070697,0.20779935120272566,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.00026684440707368424,5.84289446327629e-07
shoulder_R_amp_+0.25,shoulder_R,0.25,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861935121551253,0.025587400459641085,0.37288898840326884,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.0004374027514514744,5.84289446327629e-07
lapse_N_ring_amp_-0.70,lapse_N_ring,-0.7,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0002905423222990432,0.004234376109923883,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
lapse_N_ring_amp_-0.40,lapse_N_ring,-0.4,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
lapse_N_ring_amp_-0.20,lapse_N_ring,-0.2,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
lapse_N_ring_amp_+0.20,lapse_N_ring,0.2,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
lapse_N_ring_amp_+0.40,lapse_N_ring,0.4,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
lapse_N_ring_amp_+0.70,lapse_N_ring,0.7,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
lapse_N_core_amp_-0.70,lapse_N_core,-0.7,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.111799826676487e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
lapse_N_core_amp_-0.40,lapse_N_core,-0.4,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.115258099835054e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
lapse_N_core_amp_-0.20,lapse_N_core,-0.2,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.117551659570522e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
lapse_N_core_amp_+0.20,lapse_N_core,0.2,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.122110357112835e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
lapse_N_core_amp_+0.40,lapse_N_core,0.4,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.124375614707872e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
