r0_Lp,eta,delta_max_Lp,delta_max_m,delta_over_r0
1000.0,0.1,114.9733461766081,1.8582624562467374e-33,0.11497334617660811
1000.0,0.03,572.491221426013,9.252917990859006e-33,0.572491221426013
1000.0,0.01,2477.0256543192913,4.0035050989218266e-32,2.4770256543192914
1000.0,0.003,12333.949471789265,1.993480750352676e-31,12.333949471789264
1000.0,0.001,53365.89997764405,8.625290266836708e-31,53.36589997764405
1000000.0,0.1,1149.7334617660808,1.858262456246737e-32,0.0011497334617660809
1000000.0,0.03,5724.912214260128,9.252917990859004e-32,0.005724912214260128
1000000.0,0.01,24770.25654319291,4.003505098921826e-31,0.02477025654319291
1000000.0,0.003,123339.49471789262,1.9934807503526753e-30,0.12333949471789263
1000000.0,0.001,533658.9997764404,8.625290266836708e-30,0.5336589997764405
1000000000.0,0.1,11497.334617660808,1.8582624562467371e-31,1.1497334617660808e-05
1000000000.0,0.03,57249.12214260128,9.252917990859003e-31,5.724912214260128e-05
1000000000.0,0.01,247702.56543192908,4.0035050989218254e-30,0.00024770256543192907
1000000000.0,0.003,1233394.947178926,1.993480750352675e-29,0.001233394947178926
1000000000.0,0.001,5336589.997764404,8.625290266836707e-29,0.005336589997764404
1000000000000.0,0.1,114973.34617660806,1.8582624562467366e-30,1.1497334617660805e-07
1000000000000.0,0.03,572491.2214260127,9.252917990859002e-30,5.724912214260127e-07
1000000000000.0,0.01,2477025.6543192905,4.003505098921825e-29,2.4770256543192906e-06
1000000000000.0,0.003,12333949.47178926,1.993480750352675e-28,1.2333949471789259e-05
1000000000000.0,0.001,53365899.977644034,8.625290266836707e-28,5.336589997764403e-05
1e+20,0.1,53365899.977644034,8.625290266836707e-28,5.336589997764403e-13
1e+20,0.03,265726886.07123205,4.294824082470592e-27,2.6572688607123203e-12
1e+20,0.01,1149733461.7660801,1.858262456246736e-26,1.1497334617660802e-11
1e+20,0.003,5724912214.260123,9.252917990858996e-26,5.724912214260123e-11
1e+20,0.001,24770256543.19289,4.003505098921823e-25,2.477025654319289e-10
6.18714249917247e+34,0.1,4547372636132.885,7.349713760012956e-23,7.349713760012956e-23
6.18714249917247e+34,0.03,22642908128811.2,3.6596713477731746e-22,3.6596713477731746e-22
6.18714249917247e+34,0.01,97970173557864.2,1.5834478286376581e-21,1.5834478286376581e-21
6.18714249917247e+34,0.003,487826667559157.6,7.884522905758264e-21,7.884522905758264e-21
6.18714249917247e+34,0.001,2110703405015069.8,3.411434931872632e-20,3.4114349318726314e-20
