tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.002,-3.7699111843077517,-0.013359777058603882,210802.69981750182
0.002,-3.751061628386213,-0.01298006043769847,213863.8677718768
0.002,-3.7322120724646743,-0.009291242453483258,252777.76968119317
0.002,-3.7133625165431354,-0.003238498162119389,428157.8852685546
0.002,-3.6945129606215965,0.005201098974416841,inf
0.002,-3.675663404700058,0.016056737019926992,inf
0.002,-3.656813848778519,0.029359559181250754,inf
0.002,-3.6379642928569806,0.04513978175257296,inf
0.002,-3.6191147369354417,0.06342235805950229,inf
0.002,-3.600265181013903,0.0842207627716493,inf
0.002,-3.5814156250923643,0.10752841482888621,inf
0.002,-3.5625660691708254,0.13330708127427116,inf
0.002,-3.5437165132492865,0.1614714142610332,inf
0.002,-3.524866957327748,0.19186858190101969,inf
0.002,-3.506017401406209,0.22425178627818151,inf
0.002,-3.48716784548467,0.25824637697199804,inf
0.002,-3.4683182895631317,0.2933073770264321,inf
0.002,-3.449468733641593,0.3286677359439968,inf
0.002,-3.430619177720054,0.36327783319482254,inf
0.002,-3.4117696217985154,0.3957391724268337,inf
0.002,-3.3929200658769765,0.4242395313664539,inf
0.002,-3.374070509955438,0.44650392088708435,inf
0.002,-3.355220954033899,0.45978631611682363,inf
0.002,-3.33637139811236,0.4609412289028265,inf
0.002,-3.3175218421908217,0.4466295757051554,inf
0.002,-3.2986722862692828,0.41372321664524675,inf
0.002,-3.279822730347744,0.3599630372493768,inf
0.002,-3.2609731744262054,0.2848747242788619,inf
0.002,-3.2421236185046665,0.1908319261131023,inf
0.002,-3.223274062583128,0.08397714673500707,inf
0.002,-3.204424506661589,-0.02547631259080908,152653.7543255522
0.002,-3.18557495074005,-0.12409176277229,69167.85332059188
0.002,-3.1667253948185117,-0.19747804336639915,54829.762715782985
0.002,-3.1478758388969728,-0.23362755074185373,50409.657436677764
0.002,-3.129026282975434,-0.22623790901949692,51226.31138375397
0.002,-3.1101767270538954,-0.17661997908004273,57977.01608664839
0.002,-3.0913271711323564,-0.09329248516127622,79772.36048171138
0.002,-3.0724776152108175,0.010540620500017034,inf
0.002,-3.053628059289279,0.12047236851257431,inf
0.002,-3.03477850336774,0.22396130689435595,inf
0.002,-3.015928947446201,0.31212749170839965,inf
0.002,-2.9970793915246627,0.38016462202515144,inf
0.002,-2.978229835603124,0.426769877970264,inf
