tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.002,-2.0,-0.039788735772973836,122150.62797572996
0.002,-1.99,-0.03978873577297383,122150.62797572998
0.002,-1.98,-0.03978873577297382,122150.62797572999
0.002,-1.97,-0.03978873577297382,122150.62797572999
0.002,-1.96,-0.03978873577297383,122150.62797572998
0.002,-1.95,-0.039788735772973836,122150.62797572996
0.002,-1.94,-0.039788735772973836,122150.62797572996
0.002,-1.93,-0.03978873577297383,122150.62797572998
0.002,-1.92,-0.039788735772973836,122150.62797572996
0.002,-1.91,-0.039788735772973836,122150.62797572996
0.002,-1.9,-0.039788735772973836,122150.62797572996
0.002,-1.89,-0.03978873577297383,122150.62797572998
0.002,-1.88,-0.039788735772973836,122150.62797572996
0.002,-1.87,-0.039788735772973836,122150.62797572996
0.002,-1.8599999999999999,-0.03978873577297383,122150.62797572998
0.002,-1.85,-0.03978873577297382,122150.62797572999
0.002,-1.84,-0.039788735772973836,122150.62797572996
0.002,-1.83,-0.03978873577297383,122150.62797572998
0.002,-1.82,-0.03978873577297384,122150.62797572995
0.002,-1.81,-0.03978873577297382,122150.62797572999
0.002,-1.8,-0.03978873577297383,122150.62797572998
0.002,-1.79,-0.03978873577297384,122150.62797572995
0.002,-1.78,-0.039788735772973836,122150.62797572996
0.002,-1.77,-0.03978873577297385,122150.62797572995
0.002,-1.76,-0.039788735772973836,122150.62797572996
0.002,-1.75,-0.039788735772973836,122150.62797572996
0.002,-1.74,-0.039788735772973836,122150.62797572996
0.002,-1.73,-0.039788735772973816,122150.62797572999
0.002,-1.72,-0.03978873577297383,122150.62797572998
0.002,-1.71,-0.03978873577297383,122150.62797572998
0.002,-1.7,-0.03978873577297382,122150.62797572999
0.002,-1.69,-0.039788735772973836,122150.62797572996
0.002,-1.68,-0.03978873577297383,122150.62797572998
0.002,-1.67,-0.039788735772973836,122150.62797572996
0.002,-1.66,-0.03978873577297384,122150.62797572995
0.002,-1.65,-0.03978873577297384,122150.62797572995
0.002,-1.6400000000000001,-0.03978873577297383,122150.62797572998
0.002,-1.63,-0.03978873577297385,122150.62797572995
0.002,-1.62,-0.03978873577297385,122150.62797572995
0.002,-1.6099999999999999,-0.03978873577297385,122150.62797572995
0.002,-1.6,-0.039788735772973836,122150.62797572996
0.002,-1.5899999999999999,-0.03978873577297383,122150.62797572998
0.002,-1.58,-0.03978873577297384,122150.62797572995
0.002,-1.57,-0.03978873577297383,122150.62797572998
0.002,-1.56,-0.03978873577297384,122150.62797572995
0.002,-1.55,-0.03978873577297383,122150.62797572998
0.002,-1.54,-0.039788735772973836,122150.62797572996
0.002,-1.53,-0.039788735772973836,122150.62797572996
0.002,-1.52,-0.039788735772973836,122150.62797572996
0.002,-1.51,-0.03978873577297383,122150.62797572998
0.002,-1.5,-0.039788735772973836,122150.62797572996
0.002,-1.49,-0.03978873577297383,122150.62797572998
0.002,-1.48,-0.039788735772973836,122150.62797572996
0.002,-1.47,-0.039788735772973836,122150.62797572996
0.002,-1.46,-0.039788735772973816,122150.62797572999
0.002,-1.45,-0.03978873577297383,122150.62797572998
0.002,-1.44,-0.03978873577297383,122150.62797572998
0.002,-1.43,-0.03978873577297383,122150.62797572998
0.002,-1.42,-0.03978873577297384,122150.62797572995
0.002,-1.4100000000000001,-0.03978873577297382,122150.62797572999
0.002,-1.4,-0.03978873577297384,122150.62797572995
0.002,-1.3900000000000001,-0.039788735772973836,122150.62797572996
0.002,-1.38,-0.03978873577297384,122150.62797572995
