case,order,B0,wB,wR,Rc,TB_or_Tr,TR,TH,full_core_negative_exposure,min_core_Tkk,hold_core_Tkk_min,max_access_abs_Bt_over_B,max_access_abs_Rt_over_R,max_access_abs_flux,max_shoulder_abs_flux,B_setup_core_negative_exposure,hold_core_negative_exposure,B_reset_core_negative_exposure,R_open_core_negative_exposure,R_close_core_negative_exposure,setup_core_negative_exposure,reset_core_negative_exposure
old_B_only_B8_w8_Tr10,B_only,8.0,8.0,,,10.0,,60.0,0.4478260646348974,-0.07933819514039286,-0.0012396592990686374,0.43435782383581617,8.868380899480575e-16,0.004538986439570192,0.010824244225590503,0.1865682933341481,0.07422460053173466,0.18672325334538956,,,,
old_B_only_B8_w8_Tr30,B_only,8.0,8.0,,,30.0,,60.0,1.1947190780164556,-0.07933819514039295,-0.0012396592990686374,0.1447859412786054,4.3371726952349924e-16,0.0015129954798567306,0.0036080814085301684,0.5597048800024443,0.07391468570696752,0.5601697600361687,,,,
old_B_only_B8_w8_Tr100,B_only,8.0,8.0,,,100.0,,60.0,3.8088450174642654,-0.07933819514039289,-0.0012396592990686374,0.04345596118003689,4.4341904497402877e-16,0.00045373003992340476,0.0010820152005208462,1.8668040288035266,0.07337925649242023,1.8668040288035261,,,,
flare_gated_B8_w8_TB100_TR5,b_first,8.0,8.0,5.0,1.0,100.0,5.0,60.0,0.08057873071235824,-0.0012396592990686374,-0.0012396592990686374,0.04346742935512573,0.008858085825958425,0.0007905783617235148,0.002260303143783199,4.3739230452772023e-07,0.07430207923792645,4.374104543786091e-07,0.003021671009985808,0.003099148213003796,,
flare_gated_B8_w8_TB100_TR10,b_first,8.0,8.0,5.0,1.0,100.0,10.0,60.0,0.08677702865968948,-0.0012396592990686374,-0.0012396592990686374,0.0434670931728314,0.004429042912979212,0.0003952891808617574,0.0012184861118105946,4.3737415466923897e-07,0.07422460053173466,4.3741045437156874e-07,0.006043342019971616,0.006198296426007592,,
flare_gated_B8_w8_TB100_TR30,b_first,8.0,8.0,5.0,1.0,100.0,30.0,60.0,0.11157022040850018,-0.0012396592990686639,-0.0012396592990686639,0.04346629656420485,0.001476255813124883,0.00013175486500759253,0.0012184817096880418,4.3731524160145813e-07,0.07432149427671467,4.3731524160311297e-07,0.018159419957584397,0.018159419957584442,,
order_b_first_B8_w8_TB100_TR30,b_first,8.0,8.0,5.0,1.0,100.0,30.0,60.0,0.11157022040850018,-0.0012396592990686639,-0.0012396592990686639,0.04346629656420485,0.001476255813124883,0.00013175486500759253,0.0012184817096880418,4.3731524160145813e-07,0.07432149427671467,4.3731524160311297e-07,0.018159419957584397,0.018159419957584442,,
order_simultaneous_B8_w8_TB100_TR30,simultaneous,8.0,8.0,5.0,1.0,100.0,30.0,60.0,1.7251867944269983,-0.03196529334497549,-0.0012396592990686639,0.04346632177599222,0.0014763775149311685,0.0007827192177266568,0.002397598605297604,,0.07430810784042557,,,,0.8249749174520882,0.8249749174520886
order_r_first_B8_w8_TB100_TR30,r_first,8.0,8.0,5.0,1.0,100.0,30.0,60.0,6.188991485450965,-0.07933819476340397,-0.0012396592990686639,0.04346638419703534,0.0014763723320720093,0.0010541215864707093,0.003012181874286065,1.8389268090488264,0.07432149427671467,1.8389268090488304,1.1882151691203,1.1882151691203007,,
simultaneous_B8_w8_TB30_TR30,simultaneous,8.0,8.0,5.0,1.0,30.0,30.0,60.0,0.17234487745452204,-0.002832948076691271,-0.0012396592990686374,0.1447859412786054,0.0014763476376597373,0.00022098079663310978,0.004047292363037045,,0.07391468570696752,,,,0.048517784176698754,0.048982659755201885
simultaneous_B8_w8_TB10_TR10,simultaneous,8.0,8.0,5.0,1.0,10.0,10.0,60.0,0.10703466444758616,-0.002832948076691271,-0.0012396592990686374,0.43435782383581617,0.004429042912979212,0.0006629423898993295,0.01214187708911113,,0.07422460053173466,,,,0.016172594725566244,0.01632755325173396
simultaneous_B8_w8_TB30_TR10,simultaneous,8.0,8.0,5.0,1.0,30.0,10.0,60.0,0.5230259322877769,-0.027415651957314813,-0.0012396592990686374,0.14488270173972498,0.004429042912979212,0.002197590199679838,0.006811613965501182,,0.07422460053173466,,,,0.22416822966197625,0.22432318717182936
simultaneous_B8_w8_TB10_TR30,simultaneous,8.0,8.0,5.0,1.0,10.0,30.0,60.0,0.11278556110150793,-0.0012396592990686374,-0.0012396592990686374,0.43435782383581617,0.001476962099289384,0.0001318179005855319,0.01217812961452695,,0.07422460053173466,,,,0.01904804422200806,0.019203001578694846
stretch_sensitivity_B3_w8_TB100_TR10,b_first,3.0,8.0,5.0,1.0,100.0,10.0,60.0,0.6170763844600172,-0.00881535501559921,-0.00881535501559921,0.02125808676500992,0.004429042912979212,0.0010541043567027625,0.0030133449600389965,7.561006566818208e-07,0.5278193815590028,7.563587878973456e-07,0.04297487658646483,0.044076774584942864,,
stretch_sensitivity_B5_w8_TB100_TR10,b_first,5.0,8.0,5.0,1.0,100.0,10.0,60.0,0.22214806729136322,-0.003173527805615714,-0.003173527805615714,0.03225002499022278,0.004429042912979212,0.0006324626622502342,0.0018081577139159378,5.566391149562635e-07,0.1900149773612409,5.567320421939518e-07,0.015470955571127338,0.015867638850579437,,
stretch_sensitivity_B8_w8_TB100_TR10,b_first,8.0,8.0,5.0,1.0,100.0,10.0,60.0,0.08677702865968948,-0.0012396592990686374,-0.0012396592990686374,0.0434670931728314,0.004429042912979212,0.0003952891808617574,0.0012184861118105946,4.3737415466923897e-07,0.07422460053173466,4.3741045437156874e-07,0.006043342019971616,0.006198296426007592,,
