case,phase,core_negative_exposure,phase_duration,phase_min_core_Tkk,phase_max_access_abs_Bt_over_B,phase_max_access_abs_Rt_over_R,phase_max_access_abs_flux
old_B_only_B8_w8_Tr10,B_setup,0.1865682933341481,9.875,-0.07933819514039286,0.43435782383581617,8.868380899480575e-16,0.004538986439570192
old_B_only_B8_w8_Tr10,hold,0.07422460053173466,59.875,-0.0012396592990686374,6.708404541200252e-05,0.0,1.3983579924608601e-07
old_B_only_B8_w8_Tr10,B_reset,0.18672325334538956,10.0,-0.07933819514039286,0.43435782383581617,0.0,0.004538986439570192
old_B_only_B8_w8_Tr30,B_setup,0.5597048800024443,29.625,-0.07933819514039295,0.1447859412786054,4.3371726952349924e-16,0.0015129954798567306
old_B_only_B8_w8_Tr30,hold,0.07391468570696752,59.625,-0.0012396592990686374,2.2361348470667508e-05,0.0,4.661193308202867e-08
old_B_only_B8_w8_Tr30,B_reset,0.5601697600361687,30.0,-0.07933819514039286,0.1447859412786054,0.0,0.0015129954798567306
old_B_only_B8_w8_Tr100,B_setup,1.8668040288035266,99.65417867435158,-0.07933819514039289,0.043455961180036744,1.1102230246251565e-16,0.00045373003992340476
old_B_only_B8_w8_Tr100,hold,0.07337925649242023,59.193083573487044,-0.0012396592990686374,2.402337070384064e-07,1.0842931738087481e-16,5.007639628147459e-10
old_B_only_B8_w8_Tr100,B_reset,1.8668040288035261,99.65417867435158,-0.07933819514039286,0.04345596118003689,4.4341904497402877e-16,0.0004537300399234034
flare_gated_B8_w8_TB100_TR5,B_setup,4.3739230452772023e-07,99.9375,-1.8585447270421543e-08,0.04346742935512573,1.7763568393609435e-15,6.373663401171298e-09
flare_gated_B8_w8_TB100_TR5,R_open,0.003021671009985808,4.9375,-0.0012396355386854142,1.707383443626977e-08,0.008858085825958425,0.0007905783617235148
flare_gated_B8_w8_TB100_TR5,hold,0.07430207923792645,59.9375,-0.0012396592990686374,0.0,3.5812063621941193e-06,3.1962032375395997e-07
flare_gated_B8_w8_TB100_TR5,R_close,0.003099148213003796,4.9375,-0.0012396592990686374,0.0,0.008858085825958425,0.0007905783617235148
flare_gated_B8_w8_TB100_TR5,B_reset,4.374104543786091e-07,100.0,-1.8585447270421543e-08,0.04346742935512573,3.666847213382898e-06,3.272637131667705e-07
flare_gated_B8_w8_TB100_TR10,B_setup,4.3737415466923897e-07,99.875,-1.8585447270421543e-08,0.0434670931728314,8.881784196804717e-16,6.373579204619784e-09
flare_gated_B8_w8_TB100_TR10,R_open,0.006043342019971616,9.875,-0.0012396355386854142,6.823126077485994e-08,0.004429042912979212,0.0003952891808617574
flare_gated_B8_w8_TB100_TR10,hold,0.07422460053173466,59.875,-0.0012396592990686374,0.0,1.7906031810970597e-06,1.5981016187697998e-07
flare_gated_B8_w8_TB100_TR10,R_close,0.006198296426007592,9.875,-0.0012396592990686374,0.0,0.004429042912979212,0.0003952891808617574
flare_gated_B8_w8_TB100_TR10,B_reset,4.3741045437156874e-07,100.0,-1.8585447270421543e-08,0.0434670931728314,1.833423606691449e-06,1.6363185483620402e-07
flare_gated_B8_w8_TB100_TR30,B_setup,4.3731524160145813e-07,99.672131147541,-1.8585447314595912e-08,0.04346629656420485,1.2115867222656773e-09,6.373667621591309e-09
flare_gated_B8_w8_TB100_TR30,R_open,0.018159419957584397,29.601873536299777,-0.001239639743561404,4.094945271759798e-07,0.0014762558131242247,0.00013175486500759253
flare_gated_B8_w8_TB100_TR30,hold,0.07432149427671467,59.953161592505836,-0.0012396592990686639,2.220447160416832e-16,4.916238022597633e-07,4.387710256882198e-08
flare_gated_B8_w8_TB100_TR30,R_close,0.018159419957584442,29.601873536299763,-0.001239639743561404,4.094945293087209e-07,0.001476255813124883,0.00013175486500759253
flare_gated_B8_w8_TB100_TR30,B_reset,4.3731524160311297e-07,99.67213114754097,-1.8585447009792757e-08,0.043466296564204705,1.2115867222656773e-09,6.373667621591325e-09
order_b_first_B8_w8_TB100_TR30,B_setup,4.3731524160145813e-07,99.672131147541,-1.8585447314595912e-08,0.04346629656420485,1.2115867222656773e-09,6.373667621591309e-09
order_b_first_B8_w8_TB100_TR30,R_open,0.018159419957584397,29.601873536299777,-0.001239639743561404,4.094945271759798e-07,0.0014762558131242247,0.00013175486500759253
order_b_first_B8_w8_TB100_TR30,hold,0.07432149427671467,59.953161592505836,-0.0012396592990686639,2.220447160416832e-16,4.916238022597633e-07,4.387710256882198e-08
order_b_first_B8_w8_TB100_TR30,R_close,0.018159419957584442,29.601873536299763,-0.001239639743561404,4.094945293087209e-07,0.001476255813124883,0.00013175486500759253
order_b_first_B8_w8_TB100_TR30,B_reset,4.3731524160311297e-07,99.67213114754097,-1.8585447009792757e-08,0.043466296564204705,1.2115867222656773e-09,6.373667621591325e-09
order_simultaneous_B8_w8_TB100_TR30,setup,0.8249749174520882,99.65417867435158,-0.03196529334497549,0.04346632177599173,0.0014763775149311685,0.0007827192177266568
order_simultaneous_B8_w8_TB100_TR30,hold,0.07430810784042557,59.94236311239193,-0.0012396592990686639,4.804674140768128e-07,4.381647448727455e-16,1.0015279256294918e-09
order_simultaneous_B8_w8_TB100_TR30,reset,0.8249749174520886,99.65417867435158,-0.03196529334497548,0.04346632177599222,0.001476377514930949,0.0007827192177266559
order_r_first_B8_w8_TB100_TR30,B_setup,1.8389268090488264,99.29742388758784,-0.07933771617152821,0.04346638419703488,1.4808452105067788e-10,0.00045392744464808167
order_r_first_B8_w8_TB100_TR30,R_open,1.1882151691203,29.97658079625293,-0.07933819476340397,4.027864331179742e-06,0.0014763723320720093,0.0010541215864707093
order_r_first_B8_w8_TB100_TR30,hold,0.07432149427671467,59.953161592505836,-0.0012396592990686639,5.034830391342662e-07,2.220446049250313e-16,1.0495036899356533e-09
order_r_first_B8_w8_TB100_TR30,R_close,1.1882151691203007,29.976580796252904,-0.07933819476340392,4.027864331179742e-06,0.0014763723320717899,0.0010541215864705523
order_r_first_B8_w8_TB100_TR30,B_reset,1.8389268090488304,99.29742388758785,-0.07933771617152824,0.04346638419703534,1.4808452105067788e-10,0.0004539274446479693
simultaneous_B8_w8_TB30_TR30,setup,0.048517784176698754,29.625,-0.002832948076691271,0.1447859412786054,0.0014763476376597373,0.00022098079663310978
simultaneous_B8_w8_TB30_TR30,hold,0.07391468570696752,59.625,-0.0012396592990686374,2.2361348470667508e-05,5.968677270323533e-07,6.658120876964667e-09
simultaneous_B8_w8_TB30_TR30,reset,0.048982659755201885,30.0,-0.002832948076691271,0.1447859412786054,0.0014763476376597373,0.00022098079663310978
