t,phase,access_mean_Tkk_total,access_max_abs_flux,access_max_abs_Kll,access_max_abs_Kth,access_max_abs_theta,access_min_N,access_min_R,support_mean_Tkk_total,support_max_abs_flux,support_max_abs_Kll,support_max_abs_Kth,support_max_abs_theta,support_min_N,support_min_R,shoulder_mean_Tkk_total,shoulder_max_abs_flux,shoulder_max_abs_Kll,shoulder_max_abs_Kth,shoulder_max_abs_theta,shoulder_min_N,shoulder_min_R,matching_mean_Tkk_total,matching_max_abs_flux,matching_max_abs_Kll,matching_max_abs_Kth,matching_max_abs_theta,matching_min_N,matching_min_R,coreline_Tkk_total,coreline_Tkk_geo,coreline_src,proper_half_length_R2,proper_half_length_R3
0.0,B_setup,-0.00016271275703445514,7.3185631215418e-11,2.446588401205929e-06,8.881784165414351e-16,0.0007517984381721581,1.0,1.0,-0.010216960440508356,1.7315504514631604e-08,2.446588401205929e-06,1.3279462307731021e-15,0.17788028197216835,1.0,1.0,-0.008871412705817256,1.6840661288205602e-07,2.4460284735461357e-06,1.355443728334147e-15,1.7310740989307438,1.0,1.1725122955710758,-5.2586461737503404e-05,3.929161992384158e-08,2.345699922301492e-06,1.3485123941297553e-15,0.42098570212592856,1.0,4.639062405271132,-1.5722603208950803e-07,-1.5722603208950803e-07,0.0,1.8900000000000006,2.8200000000000003
0.975,B_setup,-0.00016270733572535987,1.7817985333002435e-09,5.956696175270773e-05,0.0,0.0007517841266085149,1.0,1.0,-0.01021672797190766,4.2157164304047527e-07,5.956696175270773e-05,0.0,0.17787689587139255,1.0,1.0,-0.008874857249987714,4.100109172787919e-06,5.95533294910006e-05,0.0,1.7310411664910974,1.0,1.1725122955710758,-5.370669799040289e-05,9.566143488028685e-07,5.711067995573933e-05,0.0,0.4209780185207771,1.0,4.639062405271132,-1.5722004630819297e-07,-1.5722004630819297e-07,0.0,1.890035970380378,2.8200536159986456
1.95,B_setup,-0.00016266679467186496,6.926556593588705e-09,0.00023159088435818648,0.0,0.0007516850790715926,1.0,1.0,-0.01021450740668067,1.6388159560410107e-06,0.00023159088435818648,4.3891735595393283e-16,0.1778534613291199,1.0,1.0,-0.008883928723191378,1.593875091593114e-05,0.00023153789035464033,5.151566251493832e-16,1.7308132474860833,1.0,1.1725122955710758,-5.715421365380619e-05,3.718779254408072e-06,0.00022204229230970044,5.139391316739409e-16,0.42092484145949893,1.0,4.639062405271132,-1.5717862155567586e-07,-1.5717862155567586e-07,0.0,1.8902849519003484,2.820424737813247
2.925,B_setup,-0.00016255577970451424,1.532642916317872e-08,0.0005126233523105058,0.0,0.0007514197394962134,1.0,1.0,-0.010208067429798807,3.6262169934333393e-06,0.0005126233523105058,0.0,0.17779068226581643,1.0,1.0,-0.008896333088774144,3.5267776083559694e-05,0.0005125060921833549,0.0,1.7302026724772666,1.0,1.1725122955710758,-6.292130723910866e-05,8.228802450930294e-06,0.0004914948236423416,0.0,0.4207823819767647,1.0,4.639062405271132,-1.5706767519940712e-07,-1.5706767519940712e-07,0.0,1.8909522747805645,2.8214194223916835
3.9,B_setup,-0.00016234062557898978,2.682455254972529e-08,0.0008978100581533827,0.0,0.0007509102344049868,1.0,1.0,-0.010195284299627067,6.3466611426051335e-06,0.0008978100581533827,0.0,0.17767013389544412,1.0,1.0,-0.008909919844057063,6.172625871673834e-05,0.0008976048276393903,0.0,1.729030245484896,1.0,1.1725122955710758,-7.101179660814421e-05,1.4402981907030475e-05,0.0008608295481391729,0.0,0.4205088196307892,1.0,4.639062405271132,-1.5685474579613112e-07,-1.5685474579613112e-07,0.0,1.8922349905086828,2.8233313867362364
4.875,B_setup,-0.00016198958370705654,4.124650971081404e-08,0.0013820317999199785,0.0,0.0007500827393092209,1.0,1.0,-0.010174153511216658,9.758881831193243e-06,0.0013820317999199785,4.436982134929383e-16,0.17747434941250756,1.0,1.0,-0.008922602904454974,9.49129087604564e-05,0.0013817162291573089,4.509609404436498e-16,1.7271260865180003,1.0,1.1725122955710758,-8.141348527537488e-05,2.2148614254513416e-05,0.0013251665008747605,4.569653290150813e-16,0.42006449021005277,1.0,4.639062405271132,-1.5650923163718078e-07,-1.5650923163718078e-07,0.0,1.8943219823358024,2.8264421726051197
5.85,B_setup,-0.0001614731417217784,5.839612076400495e-08,0.0019598315718588758,0.0,0.0007488679629574386,1.0,1.0,-0.01014280959527519,1.3816463587667802e-05,0.0019598315718588758,4.436982134929383e-16,0.1771869345609113,1.0,1.0,-0.008932368352591003,0.00013437639109760918,0.001959384791869289,4.509609404436498e-16,1.7243307451225538,1.0,1.1725122955710758,-9.409429702103437e-05,3.136181834135258e-05,0.0018793172644007508,4.569653290150813e-16,0.41941213426456947,1.0,4.639062405271132,-1.560027013333687e-07,-1.560027013333687e-07,0.0,1.8973940757728978,2.8310213112140126
6.825,B_setup,-0.0001607643972234582,7.805250245836482e-08,0.002625360652378244,0.0,0.0007472017193599026,1.0,1.0,-0.010099549399224863,1.8467146340782074e-05,0.002625360652378244,4.436982134929383e-16,0.17679270296999788,1.0,1.0,-0.00893728781328081,0.00017960856215714038,0.0026247634840489737,4.509609404436498e-16,1.7204965158056411,1.0,1.1725122955710758,-0.00010899880927924835,4.192600367949974e-05,0.0025177350500993575,4.569653290150813e-16,0.41851719115146435,1.0,4.639062405271132,-1.5530925624729353e-07,-1.5530925624729353e-07,0.0,1.9016241490872599,2.8373264879375943
7.8,B_setup,-0.00015983946250263713,9.996847789667607e-08,0.0033723443358526875,0.0,0.0007450255554767223,1.0,1.0,-0.01004285739858269,2.365244914944971e-05,0.0033723443358526875,4.436982134929383e-16,0.17627782466030614,1.0,1.0,-0.00893553640890266,0.00023004081087181307,0.0033715794910824147,4.509609404436498e-16,1.7154888815048563,1.0,1.1725122955710758,-0.00012604533970574455,5.371102314169435e-05,0.003234482614441942,4.569653290150813e-16,0.41734812230018115,1.0,4.639062405271132,-1.5440592230492323e-07,-1.5440592230492323e-07,0.0,1.9071772437989283,2.8456037070110747
8.775,B_setup,-0.00015867787533996552,1.2387039829932273e-07,0.004194067800930384,0.0,0.0007422874006670175,1.0,1.0,-0.009971431479146507,2.9307628030800988e-05,0.004194067800930384,4.436982134929383e-16,0.17562997969811392,1.0,1.0,-0.008925414119582108,0.00028504364595393326,0.0041931200851395255,4.543067546900033e-16,1.7091880071592391,1.0,1.1725122955710758,-0.0001451237429868519,6.657304002347064e-05,0.004023218421512342,4.552232810554278e-16,0.415876746533354,1.0,4.639062405271132,-1.53273046983593e-07,-1.53273046983593e-07,0.0,1.9142106751771297,2.8560874562317276
