case,t,l,N,B,R,rho,Tkk_min,flux,theta_plus,theta_minus,K_l,K_ang,tidal_ang
static_baseline,-4.0,0.0,1.0,1.0,1.0,-0.039780779616978956,-0.07956951539051822,-0.0,-5.684341886080802e-14,-5.684341886080802e-14,2.842170943040401e-14,2.842170943040401e-14,-7.105427357601153e-12
static_baseline,-4.0,0.25,1.0,1.0,1.0307764064044151,-0.03524050739479961,-0.07048608783080294,5.432280824838579e-14,0.47056739390097907,-0.4705673939010893,2.842170943040401e-14,2.75731082452163e-14,-6.893277061304222e-12
static_baseline,-4.0,1.6000000000000005,1.0,1.0,1.8867962264113212,-0.0031398919066259936,-0.006279452844469686,-1.8082350123250137e-13,0.8988728581884845,-0.8988728581885448,2.842170943040401e-14,1.5063475871192507e-14,-3.0158886121373544e-12
static_baseline,-3.95,0.0,1.0,1.0,1.0,-0.039780779616978956,-0.07956951538983971,-0.0,2.842170943040401e-14,2.842170943040401e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,1.4210854715197892e-12
static_baseline,-3.95,0.25,1.0,1.0,1.0307764064044151,-0.0352405073947996,-0.07048608783014522,-5.458888208440643e-14,0.4705673939010618,-0.4705673939010066,-1.4210854715202004e-14,-1.378655412260815e-14,1.3786554122604162e-12
static_baseline,-3.95,1.6000000000000005,1.0,1.0,1.8867962264113212,-0.0031398919066259923,-0.00627945284374944,5.082514270492395e-16,0.8988728581885448,-0.8988728581884845,-1.4210854715202004e-14,-1.5063475871192507e-14,1.5031541492200257e-12
static_baseline,-3.9,0.0,1.0,1.0,1.0,-0.039780779616978956,-0.07956951539006588,-0.0,0.0,0.0,-0.0,-0.0,-1.4210854715202307e-12
static_baseline,-3.9,0.25,1.0,1.0,1.0307764064044151,-0.03524050739479961,-0.07048608783025546,-0.0,0.4705673939010342,-0.4705673939010342,-0.0,-0.0,-1.3786554122608443e-12
static_baseline,-3.9,1.6000000000000005,1.0,1.0,1.8867962264113212,-0.0031398919066259936,-0.006279452843988167,-0.0,0.8988728581885147,-0.8988728581885147,-0.0,-0.0,-1.5095410250180716e-12
static_baseline,-3.85,0.0,1.0,1.0,1.0,-0.039780779616978956,-0.07956951539006588,-0.0,0.0,0.0,-0.0,-0.0,-1.4210854715202307e-12
static_baseline,-3.85,0.25,1.0,1.0,1.0307764064044151,-0.03524050739479961,-0.07048608783025546,-0.0,0.4705673939010342,-0.4705673939010342,-0.0,-0.0,-1.3786554122608443e-12
static_baseline,-3.85,1.6000000000000005,1.0,1.0,1.8867962264113212,-0.0031398919066259936,-0.006279452843988167,-0.0,0.8988728581885147,-0.8988728581885147,-0.0,-0.0,-1.5095410250180716e-12
static_baseline,-3.8,0.0,1.0,1.0,1.0,-0.039780779616978956,-0.07956951538983971,-0.0,-2.842170943040401e-14,-2.842170943040401e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715197892e-12
static_baseline,-3.8,0.25,1.0,1.0,1.0307764064044151,-0.0352405073947996,-0.07048608783014522,5.458888208440643e-14,0.4705673939010066,-0.4705673939010618,1.4210854715202004e-14,1.378655412260815e-14,1.3786554122604162e-12
static_baseline,-3.8,1.6000000000000005,1.0,1.0,1.8867962264113212,-0.0031398919066259923,-0.00627945284374944,-5.082514270492395e-16,0.8988728581884845,-0.8988728581885448,1.4210854715202004e-14,1.5063475871192507e-14,1.5031541492200257e-12
static_baseline,-3.75,0.0,1.0,1.0,1.0,-0.039780779616978956,-0.07956951538995279,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_baseline,-3.75,0.25,1.0,1.0,1.0307764064044151,-0.03524050739479961,-0.07048608783014575,-0.0,0.4705673939010342,-0.4705673939010342,-0.0,-0.0,-0.0
static_baseline,-3.75,1.6000000000000005,1.0,1.0,1.8867962264113212,-0.0031398919066259923,-0.006279452843868295,-0.0,0.8988728581885147,-0.8988728581885147,-0.0,-0.0,-3.193437898788839e-15
static_baseline,-3.7,0.0,1.0,1.0,1.0,-0.039780779616978956,-0.07956951538983971,-0.0,2.842170943040401e-14,2.842170943040401e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,1.4210854715197892e-12
static_baseline,-3.7,0.25,1.0,1.0,1.0307764064044151,-0.0352405073947996,-0.07048608783014522,-5.458888208440643e-14,0.4705673939010618,-0.4705673939010066,-1.4210854715202004e-14,-1.378655412260815e-14,1.3786554122604162e-12
static_baseline,-3.7,1.6000000000000005,1.0,1.0,1.8867962264113212,-0.0031398919066259923,-0.00627945284374944,5.082514270492395e-16,0.8988728581885448,-0.8988728581884845,-1.4210854715202004e-14,-1.5063475871192507e-14,1.5031541492200257e-12
static_baseline,-3.65,0.0,1.0,1.0,1.0,-0.039780779616978956,-0.07956951539006588,-0.0,0.0,0.0,-0.0,-0.0,-1.4210854715202307e-12
static_baseline,-3.65,0.25,1.0,1.0,1.0307764064044151,-0.03524050739479961,-0.07048608783025546,-0.0,0.4705673939010342,-0.4705673939010342,-0.0,-0.0,-1.3786554122608443e-12
static_baseline,-3.65,1.6000000000000005,1.0,1.0,1.8867962264113212,-0.0031398919066259936,-0.006279452843988167,-0.0,0.8988728581885147,-0.8988728581885147,-0.0,-0.0,-1.5095410250180716e-12
static_baseline,-3.6,0.0,1.0,1.0,1.0,-0.039780779616978956,-0.07956951538983971,-0.0,2.842170943040401e-14,2.842170943040401e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,1.4210854715197892e-12
static_baseline,-3.6,0.25,1.0,1.0,1.0307764064044151,-0.0352405073947996,-0.07048608783014522,-5.458888208440643e-14,0.4705673939010618,-0.4705673939010066,-1.4210854715202004e-14,-1.378655412260815e-14,1.3786554122604162e-12
