case,access_core_min_rho,access_core_max_rho,access_core_mean_rho,access_core_min_Gkk,access_core_max_abs_tidal,access_core_max_abs_theta_product,access_core_max_abs_rate,access_core_max_abs_flux,support_inner_min_rho,support_inner_max_rho,support_inner_mean_rho,support_inner_min_Gkk,support_inner_max_abs_tidal,support_inner_max_abs_theta_product,support_inner_max_abs_rate,support_inner_max_abs_flux,repayment_band_min_rho,repayment_band_max_rho,repayment_band_mean_rho,repayment_band_min_Gkk,repayment_band_max_abs_tidal,repayment_band_max_abs_theta_product,repayment_band_max_abs_rate,repayment_band_max_abs_flux,buffer_band_min_rho,buffer_band_max_rho,buffer_band_mean_rho,buffer_band_min_Gkk,buffer_band_max_abs_tidal,buffer_band_max_abs_theta_product,buffer_band_max_abs_rate,buffer_band_max_abs_flux,outer_field_min_rho,outer_field_max_rho,outer_field_mean_rho,outer_field_min_Gkk,outer_field_max_abs_tidal,outer_field_max_abs_theta_product,outer_field_max_abs_rate,outer_field_max_abs_flux,access_open_fraction,access_quiet_fraction,access_quiet_open_fraction,access_min_R_over_base,access_max_R_over_base,access_core_qi_min_sampled_avg,access_core_qi_max_sampled_avg,access_core_qi_positive_sample_fraction,access_core_qi_strict_L0max_planck_units,access_core_qi_strict_log10_L0max,access_core_qi_strict_tau0,access_core_qi_strict_t0,access_core_qi_strict_l,access_core_qi_strict_avg,support_inner_qi_min_sampled_avg,support_inner_qi_max_sampled_avg,support_inner_qi_positive_sample_fraction,support_inner_qi_strict_L0max_planck_units,support_inner_qi_strict_log10_L0max,support_inner_qi_strict_tau0,support_inner_qi_strict_t0,support_inner_qi_strict_l,support_inner_qi_strict_avg,repayment_band_qi_min_sampled_avg,repayment_band_qi_max_sampled_avg,repayment_band_qi_positive_sample_fraction,repayment_band_qi_strict_L0max_planck_units,repayment_band_qi_strict_log10_L0max,repayment_band_qi_strict_tau0,repayment_band_qi_strict_t0,repayment_band_qi_strict_l,repayment_band_qi_strict_avg,buffer_band_qi_min_sampled_avg,buffer_band_qi_max_sampled_avg,buffer_band_qi_positive_sample_fraction,buffer_band_qi_strict_L0max_planck_units,buffer_band_qi_strict_log10_L0max,buffer_band_qi_strict_tau0,buffer_band_qi_strict_t0,buffer_band_qi_strict_l,buffer_band_qi_strict_avg,outer_field_qi_min_sampled_avg,outer_field_qi_max_sampled_avg,outer_field_qi_positive_sample_fraction,outer_field_qi_strict_L0max_planck_units,outer_field_qi_strict_log10_L0max,outer_field_qi_strict_tau0,outer_field_qi_strict_t0,outer_field_qi_strict_l,outer_field_qi_strict_avg,failure_mode
static_reference,-0.039756930223726075,-0.035552427760784336,-0.03819371938946086,-1.9992006393705928,5.2096049120962776e-11,0.205913255236873,5.683205358650452e-14,2.2259547580322554e-13,-0.039756930223726075,-0.02385108727191446,-0.03344682776429787,-1.9992006393705928,7.259482763562887e-11,0.699016312186976,1.0889224145343534e-13,2.2259547580322554e-13,-0.01930996542422451,-0.007528156022991154,-0.012612940248231598,-0.9705671328238967,5.633517398922328e-11,0.9999000000009991,9.401065904848202e-14,3.705759175127053e-13,-0.0059456897356108705,-0.0018730462313314975,-0.003509040320200287,-0.2987958148192803,9.332083239198864e-11,0.948376644527875,1.3998124858797272e-13,4.3200205560109176e-13,-0.0013599939100074256,-0.00031500926787198554,-0.0006852842479668205,-0.06834932598895999,8.3385038337243e-11,0.6026957304087978,1.412585866390586e-13,4.190620871074931e-13,1.0,1.0,1.0,1.0,1.0,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.03975693022372609,-0.023851087271914453,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.03975693022372609,-0.007528156022991152,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.039725213514276034,-0.0018730462313314967,0.0,0.48899300367013054,-0.31069735455570985,1.0,-0.782,-0.020000000000000018,-0.03972521351427603,-0.03975693022372609,-0.00031500926787198544,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,static-QI-obstruction-preserved
sideband_repay_only,-0.039756930223726075,-0.035552427760784336,-0.03819371938946086,-1.9992006393705928,5.2096049120962776e-11,0.205913255236873,5.683205358650452e-14,2.2259547580322554e-13,-0.212015495105075,0.16446865664257598,-0.033444903083328544,-6.265458619580706,0.11951889821587697,0.9169168600140232,0.011939442732227174,0.048785446783439074,-0.34610558230853544,0.2663684840911402,-0.009854363170424162,-26.947497856034886,8.28355903027256,3.4241085866128147,0.7673368658272492,0.3963119394075022,-0.13783131878738655,0.12695554949912907,-0.0039461712693575485,-7.7822790090162375,2.311216643690149,1.3670205268452917,0.225991950775863,0.0875523993299986,-0.007147483011352655,0.004427597092821119,-0.0006788898645145593,-0.2261285755712693,0.0038642841018331243,0.608529439135324,0.00038647478586170317,0.0014791405927716004,1.0,1.0,1.0,1.0,1.0,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.18037966799506056,0.13281001688498292,0.03278688524590164,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.11778078561186259,0.08152169732089964,0.15081967213114755,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.25670300317629546,0.2112302015943146,0.19107468123861565,0.48899300367013054,-0.31069735455570985,1.0,-0.782,-0.020000000000000018,-0.03972521351427603,-0.03975693022372609,0.02571392319889904,0.10746812386156648,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,static-QI-obstruction-preserved
protected_core_sidecycle,-0.039756930223726075,-0.035552427760784336,-0.03819371938946086,-1.9992006393705928,5.2096049120962776e-11,0.205913255236873,5.683205358650452e-14,2.2259547580322554e-13,-0.2872384044472008,0.23984068907133171,-0.03344231329091526,-10.208514833479821,0.8093168121910002,1.0121797896655407,0.03675230670988108,0.1501726456903866,-0.5059912353679474,0.4074369412436423,0.05400419759006702,-124.60460777096468,57.98686688952532,21.485100960687998,2.3687391565547684,1.2206814366484937,-0.2326005131096604,0.2161260427026859,0.010665947044539726,-47.49989281462426,22.875951123731884,3.076916928305507,0.994546732969557,0.4400914596122994,-0.01947374416906074,0.017570928097492777,6.356209224738818e-05,-11.81774215357295,5.7783365460816025,0.7147936576973121,0.2597570925758633,0.06736562353454638,1.0,1.0,1.0,1.0,1.0,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.19636051739873703,0.14890541380675051,0.025136612021857924,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.09057562968840402,0.1636781624560119,0.3249544626593807,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.29656890432756233,0.2936119465772024,0.5446265938069217,0.48899300367013054,-0.31069735455570985,1.0,-0.782,-0.020000000000000018,-0.03972521351427603,-0.04780690294744309,0.13397207423293483,0.561384335154827,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,static-QI-obstruction-preserved
delayed_side_repay_with_static_core,-0.039756930223726075,-0.035552427760784336,-0.03819371938946086,-1.9992006393705928,5.2096049120962776e-11,0.205913255236873,5.683205358650452e-14,2.2259547580322554e-13,-0.24963033676373364,0.05145841165603743,-0.03429219554746429,-8.380921583209414,0.5439578491849946,0.9639716308391838,0.021760484451233558,0.0889149502189541,-0.1422285672417529,0.33843788745784026,-0.0008018502001355263,-73.1864152704373,34.465530825604326,6.186591692567213,1.3372552339618786,0.7079831543972346,-0.19329846716100077,0.046009609538391456,-0.007299331051346691,-13.327734589925589,4.229404595055638,1.1011782597505408,0.27212242585572466,0.10354945407731284,-0.0013599939100074256,0.005874603666108664,-0.0006631590868552886,-0.08536600352821413,0.007208991757947429,0.6099924108283398,0.0004593291322629705,0.001757973326525276,1.0,1.0,1.0,1.0,1.0,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.21573157545197702,0.03575882656152535,0.003278688524590164,0.48042333232532425,-0.3183759087335959,1.0,0.3400000000000001,-0.54,-0.04115507035716384,-0.11025617993800887,0.10550488100501182,0.12823315118397086,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,-0.21573157545197702,0.28912299189061713,0.14171220400728599,0.48042333232532425,-0.3183759087335959,1.0,0.3400000000000001,-0.54,-0.04115507035716384,-0.047369708072140825,0.02947063433391606,0.012021857923497269,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609,static-QI-obstruction-preserved
mild_split_phase,-0.10975790773780503,0.03266846969169516,-0.037347806586332286,-8.138636669594472,2.320754854058239,0.4528143969493724,0.280142753003796,0.06393055279837082,-0.15119050479326285,0.10348675336900608,-0.033092803561807604,-8.138636669594472,2.320754854058239,0.8777750569438307,0.280142753003796,0.09148855185939213,-0.2587635361813077,0.1994360480812382,-0.01247324187488716,-16.000259532888663,3.8957729940768306,2.662227012024807,0.45983380843775934,0.23773993670141402,-0.10513761990053713,0.09343589222848916,-0.0037122478272849074,-5.218320051722421,1.1031375400219021,1.2613514210587202,0.13558804556359474,0.05244051173548594,-0.005700626483446005,0.0029807205657633195,-0.0006831541541926418,-0.1837768395675659,0.0018550545947825562,0.6070683728032755,0.00023189384575325578,0.0008875187022560099,1.0,0.0,0.0,0.9650006261471706,1.0349993738528294,-0.10010198685458012,0.025367586320593855,0.036065573770491806,0.4760904023033124,-0.3223105735532663,1.0,-1.02,-0.19999999999999973,-0.04190758920375607,-0.1372675368308515,0.0895643798225461,0.07941712204007285,0.47982257200369227,-0.31891932563440417,1.0,-1.02,0.2400000000000002,-0.04125819102200707,-0.09759363661154567,0.06253851125553253,0.14134790528233152,0.4800498314317095,-0.3187136784733038,1.0,-1.02,0.16000000000000014,-0.04121913635364488,-0.20361846991299304,0.17030356606829872,0.19216757741347906,0.48632248610671097,-0.313075649481186,1.0,-1.02,0.26000000000000023,-0.040162693409384685,-0.07845666357515864,0.02428751392563884,0.10018214936247723,0.4986834019009434,-0.302175086529565,1.0,-1.02,0.0,-0.03819633591612608,access-window-collapse
fast_split_phase,-0.16547784069105798,0.08331213589466054,0.009502755832504848,-102.07133015812148,49.923111261510066,11.303191249378958,1.6810109495017396,0.38344388302297205,-0.22601748425158158,0.17829522643130344,-0.008550017948081247,-102.07133015812148,49.923111261510066,11.303191249378958,1.6810109495017396,0.5484775128932905,-0.4185646162829959,0.32212255532397743,0.07125606075842804,-164.43165103521252,79.07970237774397,25.642767845669024,2.5788704775863565,1.3306160384559704,-0.15565704292651894,0.1614248189108904,0.004230865333345953,-41.791343054150246,20.402331426940844,1.3908832641758533,0.7111967928723553,0.27884449204599115,-0.00787090733832398,0.005151132094786878,-0.0006891723890100598,-0.3217085385081543,0.03401365326114217,0.6092607352883418,0.001216107845866786,0.004654364387260202,1.0,0.0,0.0,0.9400020927894007,1.0599979072105994,-0.08807155628958215,0.054936595023133555,0.8269581056466302,1.1713280556726915,0.06867854564047504,1.0,-1.02,0.2400000000000002,-0.006923320546857304,-0.1428255358686803,0.0951422403802843,0.3806921675774135,0.5746876964120812,-0.24056810065217157,1.0,1.02,-0.3799999999999999,-0.028761248358402155,-0.06556587719946595,0.17086854884315458,0.673224043715847,0.5930731893723454,-0.22689170835720157,1.0,1.02,-0.48,-0.02700566945904387,-0.17422130840631175,0.21919237446007855,0.6,0.6008514403550088,-0.22123289340402438,1.0,-1.02,-0.54,-0.026310997772091782,-0.085477745680794,0.15005421002107186,0.42331511839708563,0.580623568274294,-0.23610533956233098,1.0,1.02,-0.45999999999999996,-0.028176186297592304,access-window-collapse
ultrafast_tiny_core,-0.0882250483359093,0.11645292911461687,0.031062582057792828,-331.467096418654,164.70337302832908,15.704951650951188,1.9814736719769448,0.4522366765130182,-0.16454291738759133,0.11687211122452337,0.0030733225513723188,-331.467096418654,164.70337302832908,15.704951650951188,1.9814736719769448,0.6472453634078188,-0.2759527959384932,0.9219297712798412,0.3164033436775137,-842.5708029477296,418.5869424593257,93.49938334226862,4.859524301157062,2.5119568811922823,-0.07928356368070431,0.13313424171806357,0.0228523202999554,-217.17029709373077,108.23268891310686,6.557435893588366,1.3636633123557538,0.5251806208376194,-0.005700626483446005,0.0029807197876499086,-0.0006863778998346459,-0.577965021892846,0.18200590530945032,0.6070683718880409,0.002325504414518485,0.008900316666997705,1.0,0.0,0.0,0.9750000192325625,1.0249999807674375,-0.0009190795574563635,0.04161479023070176,0.9981785063752276,8037.097204963642,3.905099220949998,0.02,-0.884,0.2400000000000002,-0.0009190795574563635,-0.05282695711607537,0.04161479023070176,0.4692167577413479,0.5932798303686803,-0.22674041604562573,1.0,1.02,-0.45999999999999996,-0.026986860437364354,-0.030394193740372208,0.4728328227484238,0.7333333333333333,0.6014261029271463,-0.22081772669907146,1.0,1.02,-0.48,-0.02626074148282036,-0.05282695711607537,0.4728328227484238,0.8021857923497268,0.6299814846048033,-0.20067221443868657,1.0,-1.02,-0.54,-0.023934037099874288,-0.035134626677070555,0.44030210823443316,0.4666666666666667,0.5932798303686803,-0.22674041604562573,1.0,1.02,-0.45999999999999996,-0.026986860437364354,QI-improvement-bought-by-access-ripple
aggressive_core_phase,-0.31137956201238143,1.1300585888142634,0.47978995895545967,-551.2553040076849,274.46266638152997,117.62687184207618,5.422796138572705,1.234274207577278,-0.3153438381334097,1.1300585888142634,0.2387074543690437,-551.2553040076849,274.46266638152997,117.62687184207618,5.422796138572705,1.7618362911414112,-0.6513036733304699,1.5119984269825775,0.5209873789416614,-650.3704685003769,321.5089950360846,154.7331844936757,6.238786103420192,3.2055689558833778,-0.20096852261736176,0.2734457711372826,0.02893673465508119,-142.43684417489118,70.6155799052124,8.379572463268513,1.52152739980732,0.6125385813255204,-0.01004116457104994,0.007321527958725104,-0.0006827837633336168,-0.568934168914466,0.11670452576827356,0.6114570731564817,0.002601183234962578,0.009955411976634273,0.8164794007490637,0.0,0.0,0.8800000923163002,1.1199999076837,0.1538171321362956,0.6416650762829561,1.0,inf,inf,,,,,-0.14345164520893794,0.6416650762829561,0.7034608378870674,0.5822839562880955,-0.23486517587435357,1.0,1.02,-0.45999999999999996,-0.02801572609651739,-0.08117675901151135,0.8710427513747772,0.8750455373406193,0.5888733082911255,-0.2299781303884108,1.0,1.02,-0.48,-0.027392255368215667,-0.14345164520893794,0.8710427513747772,0.8752276867030966,0.5928043592347269,-0.2270886113974423,1.0,-1.02,-0.54,-0.02703016855009907,-0.10900467571913737,0.8190171564274374,0.47067395264116574,0.5822839562880955,-0.23486517587435357,1.0,1.02,-0.45999999999999996,-0.02801572609651739,QI-improvement-bought-by-access-ripple
short_access_pulse_repay_shoulders,-0.8870646786656218,5.6703801276319705,-0.3573897652724078,-1470.5485741750629,733.8434924677354,574.2249733352718,11.981495872127901,2.619215553497457,-0.8870646786656218,5.6703801276319705,-0.09302525427339835,-1470.5485741750629,733.8434924677354,574.2249733352718,11.981495872127901,3.551180107496945,-0.1668977467155471,0.4389708509483535,0.004991160880138244,-167.3158163737453,80.76884410303191,20.910578822219424,2.3390550796778,1.246535114210466,-0.25161467798254444,0.023459796078072817,-0.007159731279123961,-27.18858233014151,12.479166913671973,1.2928371898460065,0.5567417399461121,0.19545964848845623,-0.0013599939100074256,0.008768516106478448,-0.0006639886995442224,-0.13132470221596568,0.021233592899624888,0.61292357459606,0.0009346127360606817,0.003577008609316301,0.02871410736579276,0.9288389513108615,0.0,0.7,1.0,-0.8746226239483067,1.636461829834657,0.15737704918032788,0.1090442136564032,-0.9623973749616483,1.0,1.02,0.2400000000000002,-0.7988519155844626,-0.8746226239483067,1.636461829834657,0.45792349726775955,0.1090442136564032,-0.9623973749616483,1.0,1.02,0.2400000000000002,-0.7988519155844626,-0.6498065376830207,1.636461829834657,0.3442622950819672,0.13107455247222866,-0.8824816164231148,1.0,-1.02,0.16000000000000014,-0.5528849444295458,-0.7994640110934127,1.630620980713673,0.34207650273224044,0.11367863514440765,-0.9443211493030593,1.0,1.02,0.26000000000000023,-0.7350448339472433,-0.06116577289063938,1.636461829834657,0.19599271402550092,0.9044804013862263,-0.04360083915467061,1.0,0.30600000000000005,1.38,-0.011611095826744782,access-window-collapse
outward_repayment_wave,-1.3543543898961492,10.492649991394055,-0.19098973509099765,-5417.078660579617,2705.651098359048,1058.2973561477042,16.267094344457483,10.854875746829558,-1.3543543898961492,10.492649991394055,-0.04148824396254012,-5417.078660579617,2705.651098359048,1058.2973561477042,16.267094344457483,10.854875746829558,-0.6020507144576958,0.6251641224644557,-0.011386948721996033,-444.53266152419974,143.73918086714002,26.47142973970659,2.5801616328566115,2.769734563752856,-0.3135123154274142,0.3354204354134714,-0.0009970820507268748,-225.13601947330727,73.2342758527695,8.797011790643094,1.4961225390511597,1.3836904951851514,-0.09270638653082212,0.06579217544052457,-0.0007121848053314312,-54.53327416413116,17.22431826445574,0.6369143079721804,0.30728100010507325,0.35105166371262475,0.04868913857677903,0.9113607990012484,0.0,0.84,1.097589117367133,-0.41375277778786823,1.039187901056482,0.03989071038251366,0.16216882025922533,-0.7900326426713813,1.0,-1.02,0.2400000000000002,-0.3611909136213529,-0.41375277778786823,0.9846085511173321,0.4231329690346084,0.16216882025922533,-0.7900326426713813,1.0,-1.02,0.2400000000000002,-0.3611909136213529,-0.31232731296010635,0.9454300875831688,0.16703096539162113,0.18885141297518646,-0.7238797614584794,1.0,1.02,0.16000000000000014,-0.2663367242476163,-0.3792496614416758,0.9538009009968025,0.2040072859744991,0.1697959034071164,-0.7700727920022306,1.0,-1.02,0.26000000000000023,-0.3294709400334301,-0.09769150411796998,0.3668162304054232,0.2544626593806922,0.5743444136505624,-0.24082759873266926,1.0,1.02,0.0,-0.028795639539441236,access-window-collapse
