V,lambda,lambda_over_V,C0,Delta,Rth,Rpass,v_exit,L_beta,L_q,w_release,t_catch,w_catch,X_at_tcatch,U_at_tcatch,worldline_points,timelike_fail_points,max_worldline_norm,min_worldline_norm,max_abs_v_rel,max_gamma_rel,gtt_positive_points,max_gtt,min_gtt,max_theta_product,min_theta_product,max_neg_nec_sum,min_Gkp,min_Gkm,min_rho_adm,min_rho_world,max_abs_j_l_adm,max_abs_p_l_adm,max_abs_p_th_adm,max_abs_tidal_radial_pass,max_abs_tidal_angular_pass,max_abs_tidal_radial_adm,max_abs_tidal_angular_adm,max_A,min_A,max_T,min_T,post_A_departure,post_T_departure,post_gtt_departure,U_initial,U_final,X_min,X_max,maxabs_tidal_radial_pass,X_at_maxabs_tidal_radial_pass,value_at_maxabs_tidal_radial_pass,maxabs_tidal_angular_pass,X_at_maxabs_tidal_angular_pass,value_at_maxabs_tidal_angular_pass,maxabs_rho_world,X_at_maxabs_rho_world,value_at_maxabs_rho_world,maxabs_j_l_adm,X_at_maxabs_j_l_adm,value_at_maxabs_j_l_adm,maxabs_Gkp,X_at_maxabs_Gkp,value_at_maxabs_Gkp,maxabs_Gkm,X_at_maxabs_Gkm,value_at_maxabs_Gkm,maxabs_worldline_norm,X_at_maxabs_worldline_norm,value_at_maxabs_worldline_norm,maxabs_v_rel,X_at_maxabs_v_rel,value_at_maxabs_v_rel,clean_timelike,clean_gtt,tidal_band_lt_1e3,source_band_lt_5e3,all_reduced_checks_clean,L_catch_design,w_catch_L_design,L_catch_round,w_catch_round
1.5,1.7999999999999998,1.2,100.0,0.3,0.75,0.35,0.3,1.1,1.45,0.3,0.3,0.09999999999999999,0.4085597102746671,0.8999999999999999,49,0,-0.91,-32391.16067183085,0.3,1.0482848367219182,0,-1.0,-30663.53378581175,-1.718799974625396e-06,-549.7773279332665,564.8693061148501,-286.47754327099733,-278.3917628438528,-337.95702474544345,-365.0273960366628,6.814400781952284,451.6248489584968,374.90510787477086,186.3169125279161,161.6858688404009,186.31691252791597,157.1314107649326,99.98793161035519,1.0,179.97550443205634,1.0,0.0,0.0,0.0,1.4999856676983778,0.3,-0.40000000000000013,2.95,186.3169125279161,0.8363441894995706,186.3169125279161,161.6858688404009,0.7807216681549081,161.6858688404009,365.0273960366628,0.8363441894995706,-365.0273960366628,6.814400781952284,0.7807216681549081,-6.814400781952284,286.47754327099733,0.8363441894995706,-286.47754327099733,278.3917628438528,0.8363441894995706,-278.3917628438528,32391.16067183085,-0.40000000000000013,-32391.16067183085,0.3,1.4481919241183965,0.3,True,True,True,True,True,0.44999999999999996,0.15,0.45,0.15
1.5,1.7999999999999998,1.2,100.0,0.3,0.75,0.35,0.3,1.1,1.45,0.3,0.3,0.16666666666666666,0.3833809912448263,0.8999999999999999,49,0,-0.9099999999999997,-32391.160708933556,0.30000000000000043,1.0482848367219184,0,-1.0,-30211.107861003486,-1.8117507244065474e-06,-567.4835479206415,545.5586421618457,-276.4461087240017,-269.112533437844,-349.0526315768697,-347.7258694363041,5.838982860091885,466.298756560671,405.50039628578565,177.7717000295084,166.4428222144604,177.77170002950845,162.259696420143,99.98793161035519,1.0,179.97550443205634,1.0,0.0,0.0,0.0,1.4986922696367742,0.3,-0.4,2.9499999999999993,177.7717000295084,0.8379745264637534,177.7717000295084,166.4428222144604,0.7823947422506657,166.4428222144604,347.7258694363041,0.8379745264637534,-347.7258694363041,5.838982860091885,0.7823947422506657,-5.838982860091885,276.4461087240017,0.8379745264637534,-276.4461087240017,269.112533437844,0.8379745264637534,-269.112533437844,32391.160708933556,-0.4,-32391.160708933556,0.30000000000000043,1.4493503358426887,0.30000000000000043,True,True,True,True,True,0.44999999999999996,0.25,0.45,0.25
1.5,1.7999999999999998,1.2,100.0,0.3,0.75,0.35,0.3,1.1,1.45,0.3,0.3,0.26666666666666666,0.35512950053708825,0.8999999999999999,49,0,-0.9099999890521764,-32391.161121245055,0.3000002824028454,1.0482849343171277,0,-1.0,-29788.426230478224,-2.2919651276802823e-06,-592.4027023072134,435.11299013652115,-219.65960604816325,-215.45338408835786,-484.12294849625584,-483.85182631400517,1.775790689378392,487.9303260852142,551.9752795379712,213.89860098158013,170.12574476656062,213.89860098158007,169.99018367543522,99.98793161035519,1.0,179.97550443205634,1.0,0.0,0.0,0.0,1.4842432621791728,0.3,-0.39999999999999997,2.95,213.89860098158013,0.7913432000043006,213.89860098158013,170.12574476656062,0.7913432000043006,170.12574476656062,483.85182631400517,0.7913432000043006,-483.85182631400517,1.775790689378392,0.7358539753409219,-1.775790689378392,219.65960604816325,0.8467273437706906,-219.65960604816325,215.45338408835786,0.8467273437706906,-215.45338408835786,32391.161121245055,-0.39999999999999997,-32391.161121245055,0.3000002824028454,1.068134946795957,0.3000002824028454,True,True,True,True,True,0.44999999999999996,0.4,0.45,0.4
1.5,1.7999999999999998,1.2,100.0,0.3,0.75,0.35,0.3,1.1,1.45,0.3,0.43333333333333335,0.09999999999999999,0.6084215022119446,0.8999999999999999,49,0,-0.91,-32391.332700555446,0.3,1.0482848367219182,0,-1.0,-22409.26352423324,-2.1074642759793275e-06,-419.5235205652332,460.81995795109253,-241.03160258261084,-219.7883553684817,-578.6581826395825,-598.7392509177935,6.447790133694718,348.2482036640363,644.9888686470016,286.1465912646509,111.77810980818325,286.14659126465097,121.81864394728872,99.98817980906483,1.0,179.97600820452882,1.0,0.0,0.0,0.0,1.499999002303169,0.3,-0.3999999999999999,2.9499999999999993,286.1465912646509,0.8060469148506006,286.1465912646509,111.77810980818325,0.8060469148506006,111.77810980818325,598.7392509177935,0.8060469148506006,-598.7392509177935,6.447790133694718,0.7536977913760985,-6.447790133694718,241.03160258261084,0.8060469148506006,-241.03160258261084,219.7883553684817,0.8060469148506006,-219.7883553684817,32391.332700555446,-0.13854410804250566,-32391.332700555446,0.3,1.485838161241153,0.3,True,True,True,True,True,0.65,0.15,0.65,0.15
1.5,1.7999999999999998,1.2,100.0,0.3,0.75,0.35,0.3,1.1,1.45,0.3,0.43333333333333335,0.16666666666666666,0.5812354223349712,0.8999999999999999,49,0,-0.909999999993665,-32391.343972233284,0.30000000547836886,1.048284838615179,0,-1.0,-23274.116487867468,-2.1384934736012632e-06,-416.6108227260719,465.4760338655942,-243.476710508745,-221.99932335684923,-578.5803489264936,-599.2206319888595,6.398302009930484,345.84233199369646,644.6799247596796,286.34984162788993,110.66039580151258,286.3498416278899,120.98053733269543,99.98819509173002,1.0,179.97603922397823,1.0,0.0,0.0,0.0,1.4997313562338213,0.3,-0.3999999999999999,2.95,286.34984162788993,0.8062256205387313,286.34984162788993,110.66039580151258,0.8062256205387313,110.66039580151258,599.2206319888595,0.8062256205387313,-599.2206319888595,6.398302009930484,0.7525648373438971,-6.398302009930484,243.476710508745,0.8062256205387313,-243.476710508745,221.99932335684923,0.8062256205387313,-221.99932335684923,32391.343972233284,-0.13874669673565745,-32391.343972233284,0.30000000547836886,1.1201158463318988,0.30000000547836886,True,True,True,True,True,0.65,0.25,0.65,0.25
1.5,1.7999999999999998,1.2,100.0,0.3,0.75,0.35,0.3,1.1,1.45,0.3,0.43333333333333335,0.26666666666666666,0.5451830705804541,0.8999999999999999,49,0,-0.909945687380725,-32391.48093001607,0.30332355024326524,1.0494416916234066,0,-1.0,-23625.660469074908,-2.07480237666716e-06,-404.0536811813388,484.99687779773757,-254.17384415702975,-230.82303364070782,-577.8989330936557,-603.1178838431243,5.8377026290804945,335.4004941947869,642.8054827748103,286.89139025771215,104.7229611590977,286.89139025771215,117.33243653383198,99.98838113759695,1.0,179.9764168440485,1.0,0.0,0.0,0.0,1.4938979539303838,0.3,-0.39999999999999997,2.95,286.89139025771215,0.806992234254527,286.89139025771215,104.7229611590977,0.806992234254527,104.7229611590977,603.1178838431243,0.806992234254527,-603.1178838431243,5.8377026290804945,0.806992234254527,5.8377026290804945,254.17384415702975,0.806992234254527,-254.17384415702975,230.82303364070782,0.806992234254527,-230.82303364070782,32391.48093001607,-0.14123681569626007,-32391.48093001607,0.30332355024326524,0.8616119042408353,0.30332355024326524,True,True,True,True,True,0.65,0.4,0.65,0.4
1.5,1.7999999999999998,1.2,100.0,0.3,0.75,0.35,0.3,1.1,1.45,0.3,0.5666666666666667,0.09999999999999999,0.8084118871996002,0.8999999999999999,49,0,-0.8889841771076373,-32392.200088953672,0.7953183541093811,1.6496424142069352,0,-1.0,-11471.522028528723,-1.1459374420068188e-06,-581.5730571710119,82.59826871367432,-41.449337703361365,-41.14893101031295,-478.3722601438075,-505.64163047566706,0.7998528933864557,464.5415369303932,517.0160594511149,190.79764793110843,146.01683979071962,190.7976479311087,159.65152495664947,99.98936509461072,1.0,179.97841399776254,1.0,0.0,0.0,0.0,1.4999999306676823,0.3,-0.40000000000000013,2.9499999999999993,190.79764793110843,0.7918864906372773,190.79764793110843,146.01683979071962,0.7918864906372773,146.01683979071962,505.64163047566706,0.7918864906372773,-505.64163047566706,0.7998528933864557,0.7918864906372773,0.7998528933864557,41.449337703361365,0.8905884362079763,-41.449337703361365,41.14893101031295,0.8905884362079763,-41.14893101031295,32392.200088953672,-0.15520848043050686,-32392.200088953672,0.7953183541093811,0.7918864906372773,0.7953183541093811,True,True,True,True,True,0.85,0.15,0.85,0.15
1.5,1.7999999999999998,1.2,100.0,0.3,0.75,0.35,0.3,1.1,1.45,0.3,0.5666666666666667,0.16666666666666666,0.7807965974800519,0.8999999999999999,49,0,-0.8052749077583052,-32392.201906636663,0.5297212281097933,1.1790064080981406,0,-1.0,-13835.46562879671,-1.147243441557618e-06,-256.3755781921956,141.38487199007113,-71.11741306954117,-70.26745892052998,-82.01150358975907,-91.69879542488137,31.409510777198488,211.10275868189143,101.32717745948443,40.04740945759853,121.82114099948991,40.04740945759851,73.51657537361235,99.9893675579116,1.0,179.97841899756818,1.0,0.0,0.0,0.0,1.4999455690721786,0.3,-0.4,2.9499999999999997,40.04740945759853,0.877786983043351,40.04740945759853,121.82114099948991,0.7645314639552654,121.82114099948991,91.69879542488137,0.877786983043351,-91.69879542488137,31.409510777198488,0.7645314639552654,-31.409510777198488,191.91027664652935,0.7645314639552654,191.91027664652935,70.26745892052998,0.877786983043351,-70.26745892052998,32392.201906636663,-0.15524531028493402,-32392.201906636663,0.5297212281097933,0.7645314639552654,0.5297212281097933,True,True,True,True,True,0.85,0.25,0.85,0.25
1.5,1.7999999999999998,1.2,100.0,0.3,0.75,0.35,0.3,1.1,1.45,0.3,0.5666666666666667,0.26666666666666666,0.7413626042194494,0.8999999999999999,49,0,-0.7550866201438329,-32392.24552845595,0.5920540114035773,1.2408513794054268,0,-1.0,-16794.350007745903,-1.1235503297591366e-06,-21.61758272262746,412.610602205664,-210.0650721295991,-202.54553007606492,-225.67930552190847,-340.45216228267986,1.9450634042173984,19.374004419076474,243.0848958769422,125.4539624570345,50.14728694613968,125.45396245703446,7.239141434245921,99.98942677501125,1.0,179.97853919156836,1.0,0.0,0.0,0.0,1.497710429808387,0.3,-0.40000000000000013,2.9499999999999997,125.4539624570345,0.8485334481682736,125.4539624570345,50.14728694613968,0.8485334481682736,-50.14728694613968,340.45216228267986,0.8485334481682736,-340.45216228267986,1.9450634042173984,0.7235561121375855,-1.9450634042173984,210.0650721295991,0.8485334481682736,-210.0650721295991,202.54553007606492,0.8485334481682736,-202.54553007606492,32392.24552845595,-0.15613371632602793,-32392.24552845595,0.5920540114035773,0.8485334481682736,0.5920540114035773,True,True,True,True,True,0.85,0.4,0.85,0.4
1.5,1.7999999999999998,1.2,100.0,0.3,0.75,0.35,0.5,1.1,1.45,0.3,0.3,0.09999999999999999,0.4154664252288892,1.0,49,0,-0.7499999999999996,-32394.849099851755,0.5000000000000004,1.154700538379252,0,-1.0,-28600.774207191473,-2.938791693861115e-07,-442.74873794772327,421.907870367408,-228.04061273411622,-193.86725763329179,-577.2825302377788,-635.4577985534506,8.543338775206117,366.328595054075,642.6066542412284,281.2305517029203,98.86193331539212,281.23055170292025,127.9495674732279,99.99298488624791,1.0,179.9857611698987,1.0,0.0,0.0,0.0,1.499988052491232,0.5,-0.40000000000000013,2.9499999999999993,281.2305517029203,0.8045776189446537,281.2305517029203,98.86193331539212,0.8045776189446537,98.86193331539212,635.4577985534506,0.8045776189446537,-635.4577985534506,8.543338775206117,0.8045776189446537,8.543338775206117,228.04061273411622,0.8045776189446537,-228.04061273411622,193.86725763329179,0.8045776189446537,-193.86725763329179,32394.849099851755,-0.2260523140169789,-32394.849099851755,0.5000000000000004,1.4424059188417517,0.5000000000000004,True,True,True,True,True,0.44999999999999996,0.15,0.45,0.15
