variant,V,lambda,lambda_over_V,C0,Delta,v_exit,L_catch,w_catch_L,L_beta,L_q,w_release,N,t_min,t_max,X_min,X_max,coord_time,proper_time,min_dtaudt,timelike_fail_points,max_worldline_norm,max_abs_v_rel,min_1_minus_vrel2,gtt_positive_points,max_gtt,max_theta_product,min_rho_world,max_neg_nec_sum,max_abs_tidal_radial_pass,max_abs_tidal_angular_pass,max_abs_tidal_pass,max_abs_j_l_adm,max_abs_pressure_adm,I_neg_rho_world_dtau,I_neg_nec_sum_dtau,I_abs_tidal_dtau,I_abs_flux_dtau,I_abs_pressure_dtau,peak_tide_t,peak_tide_X,peak_flux_t,peak_flux_X,peak_E,peak_q,peak_W
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.3,0.45,0.15,1.1,1.45,0.3,161,-0.200078531806625,8.557807250241567,-0.4,2.9499999999999997,8.757885782048191,301.94965631308736,0.9539392014169457,0,-0.91,0.3,0.91,0,-1.0,-2.268005353496507e-07,-569.5737628573639,611.9691270448288,302.47196409097546,175.7145130190658,302.47196409097546,9.760741241210463,660.7636980614583,262.57403207130625,154.8869708386166,178.8967360988046,13.684623773901741,436.03067090309275,1.442025052327411,0.8152653406257531,1.2778146939140074,0.7660022331016916,0.8696911857984468,0.9856784444371324,0.06156026554333849
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.5,0.45,0.15,1.1,1.45,0.3,161,-0.20006929268779033,5.224721485422005,-0.40000000000000013,2.95,5.424790778109796,221.53962776698125,0.8660254037844386,0,-0.75,0.5,0.75,0,-1.0,-1.1986050637037093e-08,-634.2259072159078,614.4036664235907,304.4316544252482,176.4874384829899,304.4316544252482,15.187738631455408,644.1294421751967,150.36163439553042,85.04449254979359,105.72079282723624,13.42653447634978,250.37169528249467,0.9526987476605413,0.8139886309091283,0.8509839205709826,0.7631312144086689,0.8706527377456152,0.9857980997971605,0.06484374986535629
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.8,0.45,0.15,1.1,1.45,0.3,161,-0.2000554340508886,3.3498607427110025,-0.40000000000000013,2.95,3.549916176761891,175.93335867985923,0.5999999999994902,0,-0.35999999999938825,0.8000000000012206,0.359999999998047,0,-1.0,5.135463877063624e-07,-915.2039971468552,648.6037055248091,294.4489626967323,210.429443796523,294.4489626967323,26.37500281563715,664.1789281942594,87.20763644235478,40.66465507047539,63.11213155009825,12.853176248753499,135.74164818112772,0.6652366340348224,0.8023003543450292,0.6208626818252987,0.7668003800472716,0.8791775020699144,0.9868487196735505,0.10294186778605063
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.3,0.45,0.25,1.1,1.45,0.3,161,-0.20137424458202335,8.548786029559594,-0.4,2.95,8.750160274141617,300.18224217111447,0.9539392014169457,0,-0.91,0.3,0.91,0,-1.0,5.217295177949106e-08,-578.3908148775294,630.4700306261186,296.5823290591256,180.00112961847776,296.5823290591256,10.029451020513953,670.2607716331172,262.70722700350063,155.23985517790553,177.97573561300095,13.683416334597712,434.757016717636,1.43928080681953,0.817148432790151,1.2752153016793746,0.7679287762818459,0.8682618517570186,0.9855001424809702,0.056991403091663784
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.5,0.45,0.25,1.1,1.45,0.3,161,-0.2012124364979762,5.219945545060961,-0.4,2.9499999999999997,5.421157981558937,220.79111437191222,0.8660254037831054,0,-0.7499999999976907,0.5000000000257702,0.7499999999742298,0,-1.0,-5.508561025171459e-09,-628.1526920750094,614.0592405930124,300.81198749245596,181.06157255913746,300.81198749245596,15.793903225602708,654.7772065743366,150.26302338105924,85.69138729927829,105.47451903748883,13.456188029994237,250.02349083784046,0.9507836345832981,0.8154181961513156,0.8491369224290679,0.7645913733567687,0.8695756564432457,0.9856640521341369,0.06117738699924441
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.8,0.45,0.25,1.1,1.45,0.3,161,-0.20096979002658427,3.3474727725304803,-0.4000000000000001,2.95,3.5484425625570646,175.85840130280982,0.5999921829677582,0,-0.35999061962241585,0.8000108937312066,0.3599825699113961,0,-1.0,2.795906290246476e-09,-915.1966647964997,651.1341960230618,297.1170172805492,209.8480315910206,297.1170172805492,26.715560814709754,665.9740503421492,87.02829613499706,40.48952247649952,62.804034617953825,12.834311415775783,135.0478844035124,0.6639630845967002,0.8031254706427802,0.6196075525647369,0.767572100817085,0.8785919655734437,0.9867771373080525,0.099725296143435
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.3,0.45,0.4,1.1,1.45,0.3,161,-0.2073989613714599,8.50154961661384,-0.4000000000000002,2.95,8.7089485779853,290.73450518141817,0.9539392014167817,0,-0.9099999999996871,0.3000000000195108,0.9099999999882935,0,-1.0,-7.881907965865685e-08,-590.779569785787,640.0980753927558,311.0298664325516,172.72505053920307,311.0298664325516,8.756260283837205,657.4559226334271,262.27113196410767,150.48762944127458,179.9575568243872,13.54432714249587,437.0735482939865,1.3710979683883757,0.8108627149001172,1.2078051825511513,0.7618675040199985,0.8729815312125598,0.9860869218382065,0.07355718910874581
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.5,0.45,0.4,1.1,1.45,0.3,161,-0.2065198377497593,5.194938032324977,-0.4,2.95,5.401457870074736,217.12055972932842,0.8660210338723707,0,-0.74999243110937,0.5000312181157271,0.7499687809097021,0,-1.0,-1.303493139954198e-09,-635.590988027536,652.558139263225,308.6240848083951,185.87204303332877,308.6240848083951,16.808555709638945,673.1997663459792,149.48400803042327,83.90768530826543,104.56195429085123,13.3244783554519,247.5189927909368,0.9075308479531552,0.8061336050602963,0.8400126245772208,0.7722176550695804,0.8764365258894458,0.9865128987237064,0.08871955393273445
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.8,0.45,0.4,1.1,1.45,0.3,161,-0.20520540185813796,3.3349690161624927,-0.4,2.95,3.540174418020631,175.65048810853116,0.5969097123023114,0,-0.35630120464082815,0.8032828374203089,0.3547366831059775,0,-1.0,-8.947434396980222e-09,-927.5367760684074,650.7388065220949,304.2290246969336,202.16599198789038,304.2290246969336,27.845136334485915,665.2961130776594,84.78871617832199,38.426058571138334,60.831431173812696,12.692463004423184,130.14351275217183,0.6577121125343908,0.8066201878364716,0.6134599323091329,0.7703510162376833,0.8760847983944176,0.9864696699993898,0.08704218954325366
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.3,0.65,0.15,1.1,1.45,0.3,161,-0.20000546292933785,7.991630070463707,-0.4,2.95,8.191635533393045,172.83989847039766,0.9539392014169457,0,-0.91,0.3,0.91,0,-1.0,1.6565330657275667e-06,-571.6142021127009,618.6209870539425,303.0537145335705,180.0022788249445,303.0537145335705,10.110499392885398,665.5191442965482,262.763340908181,154.87921420636164,177.31150567648174,13.674756565893441,433.4540821536256,0.8751467008284993,0.8150549619994869,0.7215535345773797,0.7689754102594567,0.8698500492603642,0.985698229617145,0.06209077383278183
