R,Ricci2,Kretsch,Gnn,Gkp,Gkm,gtt,det,theta_p,theta_m,tidal_radial_adm,tidal_angular_adm,S_pass,W,q,E,A,T,r,rho_pass_coord,X,U,Bamp,worldline_norm,v_rel,gamma_rel,tidal_radial_pass,tidal_angular_pass,rho_adm,rho_world,j_l_adm,p_l_adm,p_th_adm,p_ph_adm,t,dtaudt,neg_nec,neg_rho_world,abs_tidal_pass,abs_flux,abs_pressure
8.583104458571057e-05,9.102722926866709e-09,3.0895195160695463e-08,-5.57952322125594e-05,-0.00046504564135205326,-3.770213713536704e-06,-110428.3900354247,-4.839030594483712e+17,-0.012563581115821214,0.001145489566500721,-2.7279043010554544e-06,-4.79914251021796e-05,0.999088948800398,0.9999781946485498,0.9999955974988521,0.9999546021312975,99.98793161035519,599.899418926168,1.0770329614269007,1e-05,-0.3999999999999999,4.99899311738838,5.0,-359879.1620037134,0.0006473768011717438,1.0000002095484273,-2.7279043010554557e-06,-4.806612900598581e-05,-5.57952322125594e-05,-5.594464002017181e-05,0.00011531885690962915,-0.0001786126953202356,1.849320926098284e-05,1.849320926098284e-05,-0.08011874661159596,599.8992932182146,0.00046881585506559,5.594464002017181e-05,4.806612900598581e-05,0.00011531885690962915,0.0001786126953202356
7.982481119109368e-05,9.592117217574921e-09,3.2910306767409435e-08,-6.519851910000813e-05,-0.0005035853733630972,-4.067089165794846e-06,-110449.31200010102,-4.649631375969298e+17,-0.011891211819898634,0.0010836054014035405,-1.2370277882231724e-06,-5.193694845366588e-05,0.999088948800398,0.9999882341034911,0.9999946210334121,0.9999445334844095,99.99210483959203,599.9341991613926,1.0662382431116901,1e-05,-0.36995133608882086,4.99871951070813,5.0,-359920.9129782925,0.0006017883605502132,1.0000001810746646,-1.2370277882231724e-06,-5.201214551471364e-05,-6.519851910000813e-05,-6.534891322210361e-05,0.00012487957104932563,-0.00018862771216443799,2.1802190936668104e-05,2.180219093666809e-05,-0.07410764544818106,599.9340905285284,0.0005076524625288921,6.534891322210361e-05,5.201214551471364e-05,0.00012487957104932563,0.00018862771216443799
7.72872143725956e-05,1.0072102885236504e-08,3.4800628420078e-08,-7.155606134320968e-05,-0.000531785058476738,-4.271675475006309e-06,-110461.92604703047,-4.47751070122273e+17,-0.011151139120761757,0.001015390948373697,-5.506774956520479e-07,-5.482449551692775e-05,0.999088948800398,0.9999933378674248,0.9999934280728798,0.999932232736006,99.99390569615832,599.9492079086771,1.0561889463532592,1e-05,-0.33990453130078735,4.998371582037717,5.0,-359938.94327300735,0.0005497869895403293,1.000000151132901,-5.506774956520475e-07,-5.489704104544698e-05,-7.155606134320968e-05,-7.170115240024814e-05,0.0001318783457504329,-0.00019647230563266246,2.3814514958428597e-05,2.3814514958428597e-05,-0.06809654428476615,599.9491172366264,0.0005360567339517444,7.170115240024814e-05,5.489704104544698e-05,0.0001318783457504329,0.00019647230563266246
7.622569727783453e-05,1.0530471432055406e-08,3.659927316904138e-08,-7.64983186582332e-05,-0.0005549847679815906,-4.427277724671528e-06,-110470.95083629696,-4.322387204767312e+17,-0.010355277291100981,0.000941921633417821,-2.1484339566826168e-07,-5.7198161950741084e-05,0.999088948800398,0.9999960415179963,0.9999919706632776,0.9999172055947665,99.99447957247907,599.9539907462589,1.0469065267476034,1e-05,-0.3098600906001458,4.997929159303992,5.0,-359944.70588718983,0.00048630759862930255,1.0000001182475613,-2.1484339566826176e-07,-5.7265130113876496e-05,-7.64983186582332e-05,-7.663225498450399e-05,0.0001376393725642298,-0.00020320770419489793,2.5241844129415125e-05,2.5241844129415125e-05,-0.06208544312135125,599.9539198031711,0.000559412045706262,7.663225498450399e-05,5.7265130113876496e-05,0.0001376393725642298,0.00020320770419489793
7.578828006204841e-05,1.0964162698180001e-08,3.8312389323268974e-08,-8.06933833042246e-05,-0.0005753318406143001,-4.550208375504676e-06,-110478.69777411052,-4.1837423669407616e+17,-0.009510051695855764,0.0008637573214713006,-3.547642339069197e-08,-5.927602345592909e-05,0.999088948800398,0.9999975318532566,0.999990190254062,0.9998988486043243,99.99434599246268,599.9528774539924,1.0384115177681603,1e-05,-0.279818655978429,4.997366605686903,5.0,-359943.39566112845,0.0004065899671892489,1.000000082657711,-3.547642339069196e-08,-5.933406595266389e-05,-8.06933833042246e-05,-8.080946829769422e-05,0.00014269540805969885,-0.00020924764119067775,2.6382988912202397e-05,2.6382988912202387e-05,-0.05607434195793635,599.9528278632649,0.0005798820489898047,8.080946829769422e-05,5.933406595266389e-05,0.00014269540805969885,0.00020924764119067775
7.559606697197702e-05,1.1369197592126016e-08,3.9929206152760426e-08,-8.440972859700263e-05,-0.0005936481861966533,-4.645317320906246e-06,-110486.41116679675,-4.060992226532926e+17,-0.008619855298899082,0.0007812609421070101,7.371786953756901e-08,-6.114073997626432e-05,0.999088948800398,0.9999983851251377,0.9999880153705507,0.9998764251945148,99.99373740184163,599.9478053011964,1.0307233235555986,1e-05,-0.24978104355915243,4.996651345506179,5.0,-359937.33552846836,0.0003053372130637049,1.0000000466154102,7.371786953756904e-08,-6.11857150489222e-05,-8.440972859700263e-05,-8.449967874231835e-05,0.00014725071721893678,-0.00021473702316177716,2.7365613796398795e-05,2.736561379639878e-05,-0.050063240794521444,599.9477773343847,0.0005982935035175595,8.449967874231835e-05,6.11857150489222e-05,0.00014725071721893678,0.00021473702316177716
7.547255107222191e-05,1.1740040833072148e-08,4.1430115937808695e-08,-8.774462781594167e-05,-0.00061018864241311,-4.712247527304912e-06,-110494.8621395527,-3.953559736986393e+17,-0.007688507138231471,0.0006947318454301745,1.5292452256457852e-07,-6.281691393730861e-05,0.999088948800398,0.9999988912597995,0.9999853587828271,0.9998490365665165,99.99274714709522,599.9395522858151,1.0238600056970864,1e-05,-0.21974829070106058,4.995741996367661,5.0,-359927.4552277328,0.0001761582495138189,1.0000000155158648,1.529245225645785e-07,-6.28435836239569e-05,-8.774462781594167e-05,-8.779796718923827e-05,0.00015136909872145125,-0.00021970581715426577,2.82443191330511e-05,2.82443191330511e-05,-0.044052139631106546,599.9395429772343,0.0006149008899404149,8.779796718923827e-05,6.28435836239569e-05,0.00015136909872145125,0.00021970581715426577
7.532994835478967e-05,1.2070146585227678e-08,4.279130975362398e-08,-9.07204661200304e-05,-0.0006249614049452731,-4.748014658634699e-06,-110504.62462720764,-3.860905951580965e+17,-0.006719882170143898,0.0006044620447854105,2.2204417394426306e-07,-6.430374223568472e-05,0.999088948800398,0.9999992011974267,0.9999821140664847,0.9998155863457033,99.99139573781063,599.9282893750922,1.017838066409625,1e-05,-0.18972171576412694,4.994586004810344,5.0,-359913.9523483378,1.1080148719102199e-05,1.000000000061385,2.2204417394426316e-07,-6.430546026916275e-05,-9.07204661200304e-05,-9.072390218698645e-05,0.00015505334757165963,-0.00022413424368192354,2.9041914603551723e-05,2.9041914603551723e-05,-0.03804103846769164,599.9282893382657,0.0006297094196039078,9.072390218698645e-05,6.430546026916275e-05,0.00015505334757165963,0.00022413424368192354
7.51196758710905e-05,1.2352474168866261e-08,4.398747909255545e-08,-9.332713412388071e-05,-0.0006378697995094006,-4.748074274538783e-06,-110516.21216478557,-3.78254342243909e+17,-0.0057181805575071505,0.0005107586217324188,2.9188771691098317e-07,-6.558942988816846e-05,0.999088948800398,0.9999993961053272,0.9999781514312376,0.9997747377427888,99.989660799087,599.9138301414287,1.0126722304174467,1e-05,-0.15970299389381012,4.99311665737366,5.0,-359896.58920308464,-0.00019997228236907303,1.0000000199944574,2.918877169109831e-07,-6.555778461219754e-05,-9.332713412388071e-05,-9.326384357193887e-05,0.00015828043130871545,-0.00022798180276808897,2.9767496386558896e-05,2.9767496386558896e-05,-0.03202993730427674,599.9138181464773,0.0006426178737839395,9.326384357193887e-05,6.555778461219754e-05,0.00015828043130871545,0.00022798180276808897
7.480984099902069e-05,1.2579877087583072e-08,4.499358838392177e-08,-9.554169523631222e-05,-0.0006487787439634436,-4.706738495918891e-06,-110530.15263490223,-3.7180414861349286e+17,-0.004688029949888827,0.0004139501475489516,3.6920731630375953e-07,-6.665791152606318e-05,0.999088948800398,0.9999995209453553,0.9999733126718927,0.9997248617510119,99.98749020683644,599.8957402448622,1.0083752274184135,1e-05,-0.12969425303820178,4.991249308386386,5.0,-359874.8197384505,-0.0004697904106485797,1.0000001103515332,3.692073163037596e-07,-6.658230285294865e-05,-9.554169523631222e-05,-9.539047789008318e-05,0.00016101800136688116,-0.000231201045993369,3.0424754879018054e-05,3.0424754879018065e-05,-0.026018836140861833,599.8956740454548,0.0006534854824593625,9.539047789008318e-05,6.658230285294865e-05,0.00016101800136688116,0.000231201045993369
