V,lapse_lambda,C0,Delta,w_release,L_beta,L_q,release_gap,mode,variant,timelike,spacelike_points,max_ds2_dt2,min_margin,final_x,lag_final,maxabs_rho_src,min_rho_src,maxabs_j_l,min_nec,max_neg_nec_sum,int_neg_nec_dt,int_neg_rho_dt,maxabs_tidal_radial,maxabs_tidal_angular,max_A,min_A,max_W,min_W,max_S,min_S,max_E,min_E,max_q,min_q
1.01,1.1615,100.0,0.3,0.35,0.7500000000000001,1.1,0.35,shift_first,blend_EWS_v05,True,0,-0.75,0.5,1.574060492822425,0.9259395071775749,503.88265953330483,-503.88265953330483,20.419541859775403,-346.2341691235521,613.9687006315212,67.8713055243321,64.04881008202044,220.14507806460298,131.74013205750364,99.90600936119132,1.0,0.999999693500476,0.0,0.999088948800398,0.0,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.35,0.40000000000000013,1.1,0.7,shift_first,blend_EWS_v05,True,0,-0.75,0.5,1.4364247624211848,1.0635752375788152,333.82831387867645,-333.82831387867645,29.609532930464674,-289.88317111094534,461.328210500032,51.70496683495428,43.44495782153255,158.7891598288146,85.76975365426681,99.90661355767786,1.0,0.999999694066838,0.0,0.999088948800398,0.0,0.9975273768433652,6.144174602207286e-06,0.9999546021312975,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.35,0.10000000000000009,1.1,1.0,shift_first,blend_EWS_v05,True,0,-0.7500000002562695,0.5000000000053233,1.0792277370170051,1.4207722629829949,563.9723882707272,-563.9723882707272,35.86385508453764,-350.36144302731276,648.0128224646894,83.17135962536487,73.20281495397059,245.126792402725,147.65412832442803,99.76865240975033,1.0000000001637486,0.9999996940679112,1.060310711453738e-07,0.999088948800398,0.0,0.9975273768433652,1.1065241847241225e-06,0.999991823888527,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.18,0.7500000000000001,1.1,0.35,shift_first,blend_EWS_v05,True,0,-0.750000000000004,0.5,1.2567331552737255,0.5632668447262745,546.1200327927652,-546.1200327927652,15.81049777462507,-357.7562241461194,652.2704571937386,71.62220629761227,71.28651351164761,245.0157873986644,150.1084433941609,99.9993567262885,1.0000000000000027,0.9999996932565614,1.6723289419928733e-12,0.999088948800398,1.467004963173757e-05,0.9999990707516636,6.866227321766782e-06,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.18,0.40000000000000013,1.1,0.7,shift_first,blend_EWS_v05,True,0,-0.7500000000662631,0.5000000000013765,1.102476681726758,0.7175233182732421,277.30660180689625,-277.30660180689625,60.50302567573906,-325.46565715219526,408.91921160143437,39.44898464570598,31.18055350152794,127.59577096155694,74.66563733177443,99.99935650937674,1.0000000000423401,0.9999996933501399,2.7416277526004507e-08,0.999088948800398,1.8338891516478384e-10,0.9999546021312975,1.4053940594616066e-07,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.18,0.10000000000000009,1.1,1.0,shift_first,blend_EWS_v05,True,0,-0.7500002624502111,0.5000000054517872,0.9512065695615376,0.8687934304384625,67.0249446712823,-21.28013904644009,25.177586357360447,-60.394037878679946,60.394037878679946,8.384927169897395,2.1216653728584283,43.03457798958411,15.013715170228807,99.99935057317953,1.0000001676977412,0.9999996939632779,0.00010858829466076081,0.999088948800398,3.885780586188048e-16,0.9987289837369187,5.013602477621504e-09,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.35,0.7500000000000001,1.1,0.35,shift_first,blend_EWS_v05,True,0,-0.75,0.5,1.5746352322636985,0.9253647677363015,3884.4188386824394,-3884.4188386824394,114.94226894238885,-2827.700824401726,5318.484368422531,225.5187502614469,202.7242073324913,1808.141771725202,949.1074580917827,99.95075071719046,1.0,1.0,0.0,0.9999999992417439,0.0,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.35,0.40000000000000013,1.1,0.7,shift_first,blend_EWS_v05,True,0,-0.75,0.5,1.4380131720001215,1.0619868279998785,3247.8414870160414,-3247.8414870160414,77.285121925518,-2328.0181488042167,4346.895809906362,196.94845867714673,157.90937903123879,1517.814425535049,618.6581917181376,99.9747151623081,1.0,1.0,0.0,0.9999999992417439,0.0,0.9975273768433652,6.144174602207286e-06,0.9999546021312975,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.35,0.10000000000000009,1.1,1.0,shift_first,blend_EWS_v05,True,0,-0.75,0.5,1.0740166113008949,1.4259833886991051,2976.131114682613,-2976.131114682613,184.10418688234964,-2559.2489579840317,4849.831677462695,216.22556671545604,211.51753167658333,1438.3601987444995,1149.059890068273,99.92649526170548,1.0,1.0,0.0,0.9999999992417439,0.0,0.9975273768433652,1.1065241847241225e-06,0.999991823888527,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.18,0.7500000000000001,1.1,0.35,shift_first,blend_EWS_v05,True,0,-0.75,0.5,1.2583283919711463,0.5616716080288537,4233.360826322937,-4233.360826322937,94.50410850658254,-2781.87197169008,5390.127699381421,214.35594955816788,224.5962445150473,1722.733595210388,1284.5416106742994,99.99999123459745,1.0,1.0,0.0,0.999999999241744,4.107825191113079e-15,0.9999990707516636,6.866227321766782e-06,0.9999999809800573,0.0003353501304664275
