V,lapse_lambda,C0,Delta,w_release,L_beta,L_q,release_gap,mode,variant,timelike,spacelike_points,max_ds2_dt2,min_margin,final_x,lag_final,maxabs_rho_src,min_rho_src,maxabs_j_l,min_nec,max_neg_nec_sum,int_neg_nec_dt,int_neg_rho_dt,maxabs_tidal_radial,maxabs_tidal_angular,max_A,min_A,max_W,min_W,max_S,min_S,max_E,min_E,max_q,min_q
1.01,1.1615,100.0,0.3,0.35,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,56,0.020100000000000007,-0.010000000000000009,2.5000000000000036,-3.552713678800501e-15,465.00852667361636,-465.00852667361636,20.953832941151777,-356.12223526483933,651.9758143751083,37.14271825073493,36.660109040437746,213.0155341554268,139.64365613365217,99.90604388037373,1.0,0.9999996932809454,0.0,0.999088948800398,0.999088948800398,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.35,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,54,0.020100000000000007,-0.010000000000000009,2.5000000000000036,-3.552713678800501e-15,537.6213415520319,-537.6213415520319,8.343986767332641,-303.180850624541,574.1442926333391,39.35627564500499,37.11096371105188,226.62951959681465,118.74659183098962,99.90706666467524,1.0,0.9999996930170536,0.0,0.999088948800398,0.999088948800398,0.9975273768433652,6.144174602207286e-06,0.9999546021312975,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.35,0.10000000000000009,1.1,1.0,shift_first,fixed_V_baseline,False,52,0.020100000000000007,-0.010000000000000009,2.4999999999999996,4.440892098500626e-16,562.8635582235106,-562.8635582235106,29.28344639008372,-352.48672815233965,618.9914758327001,81.5862600589221,75.4237431904914,244.85850507353578,126.62231628837158,99.9069426560607,1.0,0.9999996920023368,0.0,0.999088948800398,0.999088948800398,0.9975273768433652,1.1065241847241225e-06,0.999991823888527,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.18,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,43,0.02010000000000023,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,555.4652835233605,-555.4652835233605,13.872181964366414,-356.2925500250762,675.9538885287836,40.44318271856713,38.86343918548923,222.87473279583565,133.09916905407755,99.99935719216901,1.0,0.9999996932141961,0.0,0.999088948800398,0.999088948800398,0.9999990707516636,6.866227321766782e-06,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.18,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,44,0.02010000000000023,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,557.5975381366914,-557.5975381366914,4.49781652667755,-345.74648027763305,673.501694448556,40.191677564127545,39.231308752303015,230.2658442011488,136.02332262450022,99.99935719216901,1.0,0.9999996932141961,0.0,0.999088948800398,0.999088948800398,0.9999546021312975,1.4053940594616066e-07,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.18,0.10000000000000009,1.1,1.0,shift_first,fixed_V_baseline,False,44,0.02010000000000023,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,557.6162377977677,-557.6162377977677,4.361955594701804,-345.4262366501358,673.4046509214644,40.18028453523737,39.2334970845688,230.56705248926914,136.1263224223435,99.99935719216901,1.0,0.9999996932141961,0.0,0.999088948800398,0.999088948800398,0.9987289837369187,5.013602477621504e-09,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.35,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,58,0.020100000000000007,-0.010000000000000009,2.5000000000000036,-3.552713678800501e-15,2822.369961972128,-2822.369961972128,74.29021082667816,-819.7334020182236,1607.291160293557,49.671444734248695,109.36081178703289,863.3763026639757,1180.208440989026,99.95075071719046,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.35,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,55,0.020100000000000007,-0.010000000000000009,2.5000000000000036,-3.552713678800501e-15,4695.762422191194,-4695.762422191194,38.18528160114859,-1947.5884573198073,3742.4357882350187,135.3305902871691,155.62139710234842,1987.4843100073424,954.4275097185802,99.9747162640871,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9975273768433652,6.144174602207286e-06,0.9999546021312975,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.35,0.10000000000000009,1.1,1.0,shift_first,fixed_V_baseline,False,56,0.020100000000000007,-0.010000000000000009,2.4999999999999996,4.440892098500626e-16,3605.360296751367,-3605.360296751367,87.36277961331037,-2785.841050937241,5324.297166918521,371.01416759820165,242.81571211898452,1722.797318530654,320.3625523123002,99.975672146975,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9975273768433652,1.1065241847241225e-06,0.999991823888527,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.18,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,45,0.020100000000000007,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,3670.0310849190146,-3670.0310849190146,142.37198090572278,-2829.024332424589,5441.438472131843,140.76369710577282,102.45999120176994,1737.4102021664487,405.21419346763156,99.99999123459745,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9999990707516636,6.866227321766782e-06,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.18,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,46,0.020100000000000007,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,3671.574164689888,-3671.574164689888,8.885587400931286,-2734.5617427878697,5433.581135972014,140.58268678816242,103.96658346299574,1755.0696489751426,418.22111582670556,99.99999123459745,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9999546021312975,1.4053940594616066e-07,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.18,0.10000000000000009,1.1,1.0,shift_first,fixed_V_baseline,False,46,0.020100000000000007,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,3671.5837849638465,-3671.5837849638465,7.29103182769676,-2731.179817202063,5433.195507093339,140.57373464798363,103.97056293618664,1755.7186826942873,418.4814094558535,99.99999123459745,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9987289837369187,5.013602477621504e-09,0.9999999809800573,0.0003353501304664275
1.01,1.1615,10000.0,0.3,0.35,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,56,0.020100000000000007,-0.010000000000000009,2.5000000000000036,-3.552713678800501e-15,668.6847640709556,-668.6847640709556,15.220893833606242,-352.5089676746542,644.1343600148834,44.65693585735151,44.118632917839314,286.30973199820846,157.0430160362792,9981.217603827163,1.0,0.9999996932809454,0.0,0.999088948800398,0.999088948800398,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
1.01,1.1615,10000.0,0.3,0.35,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,54,0.020100000005098595,-0.010000000000000009,2.5000000000000036,-3.552713678800501e-15,574.569442098789,-574.569442098789,10.795263418333066,-401.44766395576835,759.7142742382043,41.11382727064594,44.44497250470064,264.9019183508564,190.55791976874184,9981.421969539864,1.0,0.9999996930170536,0.0,0.999088948800398,0.999088948800398,0.9975273768433652,6.144174602207286e-06,0.9999546021312975,0.0003353501304664275
1.01,1.1615,10000.0,0.3,0.35,0.10000000000000009,1.1,1.0,shift_first,fixed_V_baseline,False,52,0.02019488236485767,-0.010000000000000009,2.4999999999999996,4.440892098500626e-16,680.8556855666848,-680.8556855666848,18.92516482444739,-363.5303537107841,704.245656535301,86.54145184786923,90.32494273910328,260.871513019677,182.99920622246674,9981.397190881404,1.0,0.9999996920023368,0.0,0.999088948800398,0.999088948800398,0.9975273768433652,1.1065241847241225e-06,0.999991823888527,0.0003353501304664275
1.01,1.1615,10000.0,0.3,0.18,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,43,0.020100000003631324,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,694.3148085534516,-694.3148085534516,8.933992122098276,-359.6366290063878,692.5900206360641,44.29117593508785,45.742707868093994,295.27387651305935,191.03763595634942,9999.871438847005,1.0,0.9999996932141961,0.0,0.999088948800398,0.999088948800398,0.9999990707516636,6.866227321766782e-06,0.9999999809800573,0.0003353501304664275
1.01,1.1615,10000.0,0.3,0.18,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,44,0.020345745542228233,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,694.7339228718224,-694.7339228718224,5.200673312477143,-356.3596220811113,691.916550912314,44.199539797972704,45.87041768676148,298.6577782398369,193.14609937088744,9999.871438847005,1.0,0.9999996932141961,0.0,0.999088948800398,0.999088948800398,0.9999546021312975,1.4053940594616066e-07,0.9999999809800573,0.0003353501304664275
1.01,1.1615,10000.0,0.3,0.18,0.10000000000000009,1.1,1.0,shift_first,fixed_V_baseline,False,44,0.020532459206432208,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,694.7405564130571,-694.7405564130571,5.160819103468955,-356.26800820500745,691.892739996139,44.1959227885104,45.87144574535193,298.7789038084568,193.2204969076596,9999.871438847005,1.0,0.9999996932141961,0.0,0.999088948800398,0.999088948800398,0.9987289837369187,5.013602477621504e-09,0.9999999809800573,0.0003353501304664275
1.01,1.1615,10000.0,0.1,0.35,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,58,0.020100000000000007,-0.010000000000000009,2.5000000000000036,-3.552713678800501e-15,1596.9618889690048,-1596.9618889690048,109.81654790545967,-1502.569360416149,2946.1198821422267,90.63323236484565,85.61347489243136,794.0390657378686,739.6636097861241,9990.15256892995,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
1.01,1.1615,10000.0,0.1,0.35,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,55,0.020100000000000007,-0.010000000000000009,2.5000000000000036,-3.552713678800501e-15,4787.934954127688,-4787.934954127688,3.923276504162159,-555.5171167111428,1095.341127405637,35.69950020488238,167.2393701485864,1665.1905402454852,1607.2795344064946,9994.943892084722,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9975273768433652,6.144174602207286e-06,0.9999546021312975,0.0003353501304664275
1.01,1.1615,10000.0,0.1,0.35,0.10000000000000009,1.1,1.0,shift_first,fixed_V_baseline,False,56,0.02011402046541,-0.010000000000000009,2.4999999999999996,4.440892098500626e-16,5471.804605622241,-5471.804605622241,103.33150518207691,-3295.045867424232,6176.765714120156,424.64098758956413,377.7221848081386,2365.8330430574338,889.5544400182538,9995.135021239434,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9975273768433652,1.1065241847241225e-06,0.999991823888527,0.0003353501304664275
1.01,1.1615,10000.0,0.1,0.18,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,45,0.020100000000000007,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,5568.279519494606,-5568.279519494606,57.85047482808296,-3015.2156654595947,5799.0294316068575,163.22610471531686,143.93955682400772,2396.16410188363,896.8145104273474,9999.998246919567,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9999990707516636,6.866227321766782e-06,0.9999999809800573,0.0003353501304664275
1.01,1.1615,10000.0,0.1,0.18,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,46,0.020187276399630916,-0.010000000000000009,1.8200000000000025,-2.4424906541753444e-15,5570.9610454404165,-5570.9610454404165,9.622102350794774,-2913.569512400932,5788.650615398685,162.98660482649677,144.12097252658614,2410.8092215539114,900.582840285597,9999.998246919567,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9999546021312975,1.4053940594616066e-07,0.9999999809800573,0.0003353501304664275
