source_run_id	local_source_path	public_package_representation	notes
mtDNA_haplotype_hardening_v1	haplogroup_runs/mtDNA_haplotype_hardening_v1/mtdna_haplotype_hardening_report.md	derived_tables/direct_lineage_summary.tsv; run_summaries/lineage_summary.md	Raw mtDNA call rows excluded.
mtDNA_public_resource_sweep_v1	haplogroup_runs/mtDNA_public_resource_sweep_v1/mtDNA_public_resource_sweep_report.md	derived_tables/direct_lineage_summary.tsv; run_summaries/lineage_summary.md	Public-resource context summarized.
y_dna_local_refinement_v1	haplogroup_runs/y_dna_local_refinement_v1/y_dna_local_refinement_report.md	derived_tables/direct_lineage_summary.tsv; run_summaries/lineage_summary.md	Private-like SNP detail excluded.
y_dna_public_query_packet_v1	haplogroup_runs/y_dna_public_query_packet_v1/public_y_dna_query_sheet.md	derived_tables/direct_lineage_summary.tsv; run_summaries/lineage_summary.md	Public placement retained.
baltic_litvak_chr10_lithuanian_tract_consolidation_v1	admixture_runs/aadr_v66p1/baltic_litvak_chr10_lithuanian_tract_consolidation_v1/chr10_lithuanian_tract_consolidation_report.md	canonical_windows/window_evidence_summary.tsv; derived_tables/local_object_evidence_ledger.tsv	Direct tract summary retained.
baltic_litvak_chr3_belorussian_microhap_packet_v1	admixture_runs/aadr_v66p1/baltic_litvak_chr3_belorussian_microhap_packet_v1/chr3_belorussian_microhap_packet_report.md	canonical_windows/window_evidence_summary.tsv; derived_tables/local_object_evidence_ledger.tsv	Lower-tier micro-haplotype retained.
chr9_carrier_breakpoint_audit_v1	admixture_runs/aadr_v66p1/chr9_carrier_breakpoint_audit_v1/chr9_carrier_breakpoint_audit_report.md	canonical_windows/window_evidence_summary.tsv; derived_tables/anchor_validation_public_summary.tsv	Core and extension summarized.
rare_motif_chr3_founder_structure_audit_v1	admixture_runs/aadr_v66p1/rare_motif_chr3_founder_structure_audit_v1/chr3_founder_structure_audit_report.md	canonical_windows/window_evidence_summary.tsv; paper/figures/fig2_chr3_bridge_schematic.png	Bridge classes summarized.
haplotype_painting_anchor_validation_v1	admixture_runs/aadr_v66p1/haplotype_painting_anchor_validation_v1/haplotype_painting_anchor_validation_report.md	derived_tables/anchor_validation_public_summary.tsv	Anchor-removal checks summarized.
founder_subpool_map_v1	admixture_runs/aadr_v66p1/founder_subpool_map_v1/founder_subpool_map_report.md	derived_tables/local_object_evidence_ledger.tsv; run_summaries/evidence_synthesis.md	Founder-subpool summary retained.
post_map_decision_synthesis_v1	admixture_runs/aadr_v66p1/post_map_decision_synthesis_v1/post_map_decision_synthesis_report.md	claims_index/phase1_claims_index.tsv; derived_tables/local_object_evidence_ledger.tsv	Decision status retained.
global_sensitivity_audit_v1	admixture_runs/aadr_v66p1/global_sensitivity_audit_v1/global_sensitivity_audit_report.md	derived_tables/global_sensitivity_summary.tsv	Global robustness layer retained.
founder_route_sketch_v1	admixture_runs/aadr_v66p1/founder_route_sketch_v1/founder_route_sketch_report.md	run_summaries/evidence_synthesis.md	Historical route sketch summarized.
romani_lineage_audit_v1	admixture_runs/aadr_v66p1/romani_lineage_audit_v1/romani_lineage_audit_report.md	derived_tables/romani_audit_public_summary.tsv	Roma/Romani audit summarized.
romani_public_data_inventory_v1	admixture_runs/aadr_v66p1/romani_public_data_inventory_v1/romani_public_data_inventory_report.md	derived_tables/public_dataset_inventory.tsv; derived_tables/romani_audit_public_summary.tsv	Public and managed-access state summarized.
roquetes_prjeb107193_wgs_context_pilot_v1	admixture_runs/aadr_v66p1/roquetes_prjeb107193_wgs_context_pilot_v1/roquetes_prjeb107193_wgs_context_pilot_report.md	derived_tables/public_dataset_inventory.tsv; run_summaries/public_data_pilots_summary.md	Public-data pilot summarized.
nahal_yarmuth_prjeb83268_context_pilot_v1	admixture_runs/aadr_v66p1/nahal_yarmuth_prjeb83268_context_pilot_v1/nahal_yarmuth_prjeb83268_context_pilot_report.md	derived_tables/public_dataset_inventory.tsv; run_summaries/public_data_pilots_summary.md	Public-data pilot summarized.
prjeb111574_ne_iberian_ia_context_pilot_v1	admixture_runs/aadr_v66p1/prjeb111574_ne_iberian_ia_context_pilot_v1/prjeb111574_ne_iberian_ia_context_pilot_report.md	derived_tables/public_dataset_inventory.tsv; run_summaries/public_data_pilots_summary.md	Public-data pilot summarized.
amvrakia_prjna1143893_selected_deep_v1	admixture_runs/aadr_v66p1/amvrakia_prjna1143893_selected_deep_v1/amvrakia_prjna1143893_context_pilot_report.md	derived_tables/public_dataset_inventory.tsv; run_summaries/public_data_pilots_summary.md	Public-data pilot summarized.
rocavecchia_prjeb93761_context_pilot_v1	admixture_runs/aadr_v66p1/rocavecchia_prjeb93761_context_pilot_v1/rocavecchia_prjeb93761_context_pilot_report.md	derived_tables/public_dataset_inventory.tsv; run_summaries/public_data_pilots_summary.md	Public-data pilot summarized.
